option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,420 000 zł,"55,85 m²",Tylko U Nas! Dwupokojowe- Zabobrze III- nowe budow,2,Zapytaj,Współrzędne dokładne,"Zabobrze, Jelenia Góra, Jelenia Góra",50.903103,15.734431,1/3,375 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,585 000 zł,"49,54 m²",Zamieszkaj w pięknym wnętrzu stylowo urządzonym,2,Zapytaj,Współrzędne dokładne,"Wrocław, Poświętne, ul. Adama Jerzego Czartoryskiego",51.154067,17.047191,5/5,400 zł,pełna własność,balkon,Zapytaj,brak informacji,2021,blok,tak,internet,domofon / wideofon,brak informacji,wtórny
1,479 000 zł,"52,92 m²",Mieszkanie 2 pok. | Rozkładowe | Stare Miasto |,2,Zapytaj,Współrzędne dokładne,"Wrocław, Szczepin, ul. Legnicka",51.118623,16.998395,2/10,650 zł,Zapytaj,balkon,Zapytaj,2022-02-01,1995,blok,tak,internet,domofon / wideofon,inne,wtórny
1,624 000 zł,69 m²,4 pokoje| balkon |zadbana kamienica |po remoncie,4,Zapytaj,Współrzędne dokładne,"Wrocław, Księże Małe, ul. Chorzowska",51.075123,17.082869,1/2,700 zł,pełna własność,balkon,Zapytaj,brak informacji,1935,kamienica,nie,internet,domofon / wideofon,cegła,wtórny
1,1 188 000 zł,"47,52 m²","Wykończony apartament nad Odrą,2pok., Młyn Maria",2,Zapytaj,Współrzędne dokładne,"Wrocław, Stare Miasto, ul. Staromłyńska",51.115305,17.040423,5/5,700 zł,pełna własność,Zapytaj,Zapytaj,2023-04-21,2021,apartamentowiec,nie,brak informacji,brak informacji,brak informacji,wtórny
1,539 000 zł,50 m²,Gaj |50m2 | Rozkład | Nowe Bud. | Balkon!,2,do zamieszkania,Współrzędne dokładne,"Wrocław, Gaj, ul. Jerzego Kukuczki",51.071829,17.035833,parter/4,400 zł,pełna własność,balkon,Zapytaj,brak informacji,2008,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,inne,wtórny
1,819 900 zł,60 m²,Sam Rynek! Gotowe do wprowadzenia | 2 pokoje,2,Zapytaj,Współrzędne dokładne,"Wrocław, Stare Miasto, ul. Ofiar Oświęcimskich",51.10824,17.033105,1/3,620 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1957,kamienica,nie,"internet, telefon",domofon / wideofon,cegła,wtórny
1,1 244 500 zł,"49,78 m²","Luksusowy apartament nad Odrą 2pok., Młyn Maria",2,do zamieszkania,Współrzędne dokładne,"Wrocław, Stare Miasto, ul. Staromłyńska",51.115305,17.040423,3/5,700 zł,pełna własność,balkon,Zapytaj,2023-04-21,2021,apartamentowiec,nie,brak informacji,brak informacji,brak informacji,wtórny
1,3 350 000 zł,106 m²,Pierwsza linia zabudowy od Odry| Księcia Witolda,3,Zapytaj,Współrzędne dokładne,"Wrocław, Stare Miasto, ul. Księcia Witolda",51.115085,17.0266,1/2,1 200 zł,pełna własność,balkon,Zapytaj,brak informacji,2021,apartamentowiec,tak,internet,domofon / wideofon,inne,wtórny
1,890 000 zł,"96,9 m²",Mieszkanie w prestiżowej lokalizacji,3,Zapytaj,Współrzędne dokładne,"Wrocław, Plac Grunwaldzki, Wybrzeże Pasteura",51.111782,17.069839,2/8,750 zł,Zapytaj,balkon,Zapytaj,brak informacji,1995,plomba,tak,"telewizja kablowa, internet",domofon / wideofon,inne,wtórny
1,899 000 zł,"56,67 m²",#Biskupin#Nowebudownictwo#Taras#2Pokoje#,2,Zapytaj,Współrzędne dokładne,"Wrocław, Dąbie, ul. Antoniego Wiwulskiego",51.101044,17.082708,parter/2,600 zł,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2010,apartamentowiec,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon",inne,wtórny
