prize;surface;offer name;rooms ;standard;localization_info;localization_name;latitude;longitude;floor_number;rental_cost;form_of_property;extras;garage;availability;year_of_construction;type_of_building;elevator;media;security;building_material;market
303 360 zł;35,68 m²;Nowoczesne osiedle w cichej i spokojnej okolicy!;2;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Bartodzieje Małe, Bydgoszcz, Bydgoszcz;53.11373;18.03932;1/7;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2024;blok;tak;brak informacji;brak informacji;silikat;pierwotny
348 900 zł;63,8 m²;Nowy segment domu Łabiszyn;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Łabiszyn, żniński, kujawsko-pomorskie;52.95;17.91667;1/1;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;brak informacji;nie;brak informacji;brak informacji;brak informacji;pierwotny
490 000 zł;50 m²;Piękne, nietuzinkowe M-4, 50m2, nowy blok, Fordon!;3;do zamieszkania;Współrzędne dokładne;Bydgoszcz, Fordon, ul. Fordońska;53.130639;18.103576;2/6;500 zł;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;apartamentowiec;nie;telewizja kablowa, internet;brak informacji;brak informacji;pierwotny
310 329 zł;35,67 m²;Postindustrialna Inwestycja w spokojnej okolicy!!;2;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Bocianowo, Bydgoszcz, Bydgoszcz;53.13498;18.00295;parter/5;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
356 775 zł;47,57 m²;Nowoczesne osiedle w cichej i spokojnej okolicy!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Bartodzieje Małe, Bydgoszcz, Bydgoszcz;53.11373;18.03932;2/7;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
900 075 zł;120,79 m²;Luksusowy - ostatni apartament dwupiętrowy!;7;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Okole, Bydgoszcz, Bydgoszcz;53.3;17.95;4/5;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2022;blok;tak;brak informacji;brak informacji;silikat;pierwotny
338 220 zł;37,58 m²;Postindustrialna Inwestycja w spokojnej okolicy!!;2;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Bocianowo, Bydgoszcz, Bydgoszcz;53.13498;18.00295;3/5;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
467 285 zł;59,15 m²;Postindustrialna Inwestycja w spokojnej okolicy!!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Bocianowo, Bydgoszcz, Bydgoszcz;53.13498;18.00295;1/5;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
499 000 zł;53 m²;Stan Deweloperski z loggią i pięknym widokiem!!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Osiedle Leśne, Bydgoszcz, Bydgoszcz;53.13905;18.02752;2/8;300 zł;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;brak informacji;pierwotny
575 526 zł;74,55 m²;Górzyskowo nowe budownictwo!! Ostatnie mieszkanie!;4;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Górzyskowo, Bydgoszcz, Bydgoszcz;53.1119;17.97636;2/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2022;blok;tak;brak informacji;brak informacji;silikat;pierwotny
469 000 zł;47,41 m²;Nowe, wykończone mieszkanie - Zielone Horyzonty;3;do zamieszkania;Współrzędne dokładne;Toruń, Podgórz, ul. Kręta 107;52.983742;18.571381;3/3;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2023;apartamentowiec;tak;telewizja kablowa, internet;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon;silikat;pierwotny
813 500 zł;59,08 m²;Ładne M4 w nowym bloku na Górzyskowie;3;Zapytaj;Współrzędne dokładne;Górzyskowo, Bydgoszcz, Bydgoszcz;53.11376;17.97612;3/3;362 zł;Zapytaj;balkon;garaż/miejsce parkingowe;brak informacji;2022;brak informacji;tak;brak informacji;brak informacji;brak informacji;pierwotny
506 000 zł;51,29 m²;Piękny nowy apartament na Bajce!;3;Zapytaj;Współrzędne dokładne;Fordon, Bydgoszcz, Bydgoszcz;53.14855;18.15619;4/7;Zapytaj;Zapytaj;balkon;Zapytaj;brak informacji;2022;blok;tak;brak informacji;teren zamknięty;brak informacji;pierwotny
534 000 zł;53,96 m²;Świeżutki apartament na Bajce z dużym balkonem!;3;Zapytaj;Współrzędne dokładne;Fordon, Bydgoszcz, Bydgoszcz;53.14855;18.15619;4/7;Zapytaj;Zapytaj;balkon;Zapytaj;brak informacji;2022;blok;tak;brak informacji;teren zamknięty;brak informacji;pierwotny
Zapytaj o cenę;83,94 m²;4 pokojowe mieszkanie z widokiem na las. JAR;4;Zapytaj;Współrzędne dokładne;Toruń, Wrzosy, ul. Henryka Strobanda;53.052597;18.61053;1;Zapytaj;pełna własność;balkon;Zapytaj;0;0;0;0;0;0;0;0
Zapytaj o cenę;67,53 m²;Dwustronne 3 pokojowe mieszkanie - duży salon!;3;do wykończenia;Współrzędne dokładne;Bydgoszcz, Fordon, ul. Fordońska 428;53.143395;18.157539;5/5;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
482 400 zł;60,3 m²;Przestronne mieszkanie w Ciechocinku (M68);3;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Ciechocinek, aleksandrowski, kujawsko-pomorskie;52.869938;18.809685;3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2024;blok;tak;brak informacji;brak informacji;brak informacji;pierwotny
419 300 zł;59,77 m²;Nowe 60m2 3 pokojowe winda Toruń Łódzka 29A;3;do wykończenia;Współrzędne dokładne;Toruń, Stawki, ul. Łódzka 29A;52.98805;18.63655;2/2;590 zł;pełna własność;balkon;garaż/miejsce parkingowe;2023-04-12;2023;blok;tak;brak informacji;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon;silikat;pierwotny
