option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,850 000 zł,86 m²,APARTAMENT w Solankach komfortowo urządzony,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Solanki, Inowrocław, inowrocławski",52.79528,18.24056,1/3,960 zł,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2016,apartamentowiec,tak,internet,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",pustak,wtórny
1,263 000 zł,"47,95 m²",3 pokoje z Balkonem parter w Centrum Solca,3,do remontu,Współrzędne dokładne,"ul. Dworcowa 11, Solec Kujawski, bydgoski",53.07911,18.22321,parter/4,560 zł,pełna własność,balkon,Zapytaj,brak informacji,1975,blok,nie,brak informacji,brak informacji,beton komórkowy,wtórny
1,487 255 zł,"41,73 m²","Nowe mieszkanie, wysoki standard, bez PCC",2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Toruń, Toruń, kujawsko-pomorskie",53.035522,18.699264,1/2,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,2023,blok,nie,brak informacji,"monitoring / ochrona, domofon / wideofon",brak informacji,wtórny
1,279 000 zł,48 m²,"Atrakcyjne M3 Solec Kujawski, idealna lokalizacja",2,do zamieszkania,Współrzędne dokładne,"ul. Toruńska 54A, Solec Kujawski, bydgoski",53.07911,18.22321,1/3,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,telewizja kablowa,domofon / wideofon,cegła,wtórny
1,150 000 zł,26 m²,"Szwederowo, kamienica M3, okazja cenowa!",2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Szwederowo, Bydgoszcz, Bydgoszcz",53.11239,17.98932,2/2,350 zł,pełna własność,Zapytaj,Zapytaj,2023-05-12,1930,kamienica,nie,"telewizja kablowa, internet",brak informacji,cegła,wtórny
1,246 000 zł,"35,2 m²",2 Pokoje 35M Błonie - Świetna Lokalizacja!,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Błonie, Bydgoszcz, Bydgoszcz",53.116899,17.958654,4/4,290 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,1968,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,387 000 zł,"48,5 m²","Piękne Mieszkanie 3 Pokoje 48,5M Szewderowo",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Szwederowo, Bydgoszcz, Bydgoszcz",53.109275,17.986567,6/11,580 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,1980,blok,tak,brak informacji,brak informacji,wielka płyta,wtórny
1,329 000 zł,"52,97 m²",Wyżyny 3 Pokoje Z Ładnym Widokiem,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Wyżyny, Bydgoszcz, Bydgoszcz",53.107198,18.026327,3/4,530 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1975,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,230 000 zł,"35,07 m²",Dobra Cena - 2 Pokoje Kapuściska Parter,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Kapuściska, Bydgoszcz, Bydgoszcz",53.10585,18.05483,parter/4,580 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,1972,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,239 000 zł,"26,1 m²",Kawalerka po remoncie! Z balkonem! os. Leśne!,1,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Osiedle Leśne, Bydgoszcz, Bydgoszcz",53.139025,18.023437,3/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,274 900 zł,"49,19 m²",M3 Przylesie! Loggia! II. piętro z windą!,2,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Fordon, Bydgoszcz, Bydgoszcz",53.151137,18.12955,2/7,480 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,2023-04-15,brak informacji,brak informacji,tak,brak informacji,brak informacji,wielka płyta,wtórny
1,299 000 zł,"50,7 m²",M3 os. Leśne! Do remontu! Parking dla mieszkańców!,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Osiedle Leśne, Bydgoszcz, Bydgoszcz",53.139626,18.027783,2/3,590 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,1952,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,379 000 zł,"54,3 m²",M4 do wprowadzenia się! Szwederowo! Parter! Loggia,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Szwederowo, Bydgoszcz, Bydgoszcz",53.109472,18.000115,parter/11,620 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,brak informacji,wielka płyta,wtórny
1,730 000 zł,67 m²,"Piękne,nowe-3 pokojowe bezposrednio od właściciela",3,do zamieszkania,Współrzędne dokładne,"Bydgoszcz, Górzyskowo, ul. Orla 47",53.112367,17.978096,parter/5,600 zł,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2021,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",cegła,wtórny
1,699 300 zł,126 m²,"Mieszkanie, 126 m², Bydgoszcz",4,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Śródmieście, Bydgoszcz, Bydgoszcz",53.12868,18.0023,2,"485,10 zł",pełna własność,balkon,Zapytaj,brak informacji,1876,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
1,540 000 zł,86 m²,Atrakcyjne mieszkanie 2 poziomowe! Nowe osiedle !,3,do zamieszkania,Współrzędne dokładne,"ul. gen. Józefa Hallera , Świecie, świecki",53.412734,18.449996,3/3,Zapytaj,spółdzielcze własnościowe,balkon,garaż/miejsce parkingowe,brak informacji,2019,apartamentowiec,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",beton komórkowy,wtórny
1,419 000 zł,"63,36 m²",Super mieszkanie przy ul. Przybory 4,3,do zamieszkania,Współrzędne dokładne,"Fordon, Bydgoszcz, Bydgoszcz",53.157051,18.151551,2/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1987,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
