option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,445 000 zł,65 m²,"Piękne nowe mieszkanie 3 pokoje 65,2m",3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Czuby, Lublin, Lublin",51.246454,22.568446,parter/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,pierwotny
1,547 000 zł,"72,01 m²",Koncertowa Dolina | budynek 23 | mieszkanie M11,4,do wykończenia,Współrzędne dokładne,"Lublin, Czechów, ul. Koncertowa",51.281013,22.543638,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"internet, telefon",domofon / wideofon,brak informacji,pierwotny
1,550 000 zł,"69,99 m²",Osiedle Nowy Standard | Wygodne Mieszkanie B11/7,4,do wykończenia,Współrzędne dokładne,"Lublin, Ponikwoda, ul. Dożynkowa",51.278557,22.585031,1/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2021,blok,tak,"telewizja kablowa, internet",brak informacji,brak informacji,pierwotny
1,356 744 zł,"46,94 m²",Nowa Kręta | B1 | mieszkanie LM-45,2,do wykończenia,Współrzędne dokładne,"Lublin, Kośminek, ul. Kręta",51.232826,22.57542,3/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
1,501 480 zł,"59,7 m²","3 pokojowe mieszkanie, 59,7m2, Wrotków",3,Zapytaj,Współrzędne dokładne,"Lublin, Wrotków, ul. Henryka Wolińskiego",51.201946,22.552134,1/5,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,nie,"telewizja kablowa, internet",domofon / wideofon,brak informacji,pierwotny
1,540 000 zł,"59,15 m²",Nowe bez PCC Węglin,3,do wykończenia,Współrzędne dokładne,"Lublin, Węglin, ul. Koralowa",51.225092,22.485215,3/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,2023-04-01,2023,blok,tak,brak informacji,domofon / wideofon,silikat,pierwotny
1,580 000 zł,50 m²,Nowe mieszkanie na Wrońskiej bez PCC,2,do zamieszkania,Współrzędne dokładne,"Lublin, Bronowice, ul. Wrońska",51.235912,22.586542,1/14,388 zł,pełna własność,balkon,garaż/miejsce parkingowe,2023-04-13,2022,blok,tak,brak informacji,domofon / wideofon,pustak,pierwotny
1,1 326 672 zł,"179,28 m²",*Segment*Zaciszna Okolica*Czechów*,7,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Czechów, Lublin, Lublin",51.26556,22.54722,parter/1,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,nie,brak informacji,brak informacji,pustak,pierwotny
1,518 775 zł,"69,17 m²",Stan deweloperski! Trzy pokoje z ogródkiem,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Bronowice, Lublin, Lublin",51.231419,22.576262,Zapytaj,520 zł,pełna własność,balkon,Zapytaj,brak informacji,2023,blok,tak,brak informacji,monitoring / ochrona,brak informacji,pierwotny
1,784 658 zł,"95,69 m²",Przepiękne 4 pokojowe mieszkanie deweloper Węglin,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Czuby, Lublin, Lublin",51.246454,22.568446,2/6,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,brak informacji,brak informacji,brak informacji,pierwotny
1,428 194 zł,"49,79 m²",2 pokoje w ukończonej inwestycji-0% Pcc-Wrotków,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Lublin, Lublin, lubelskie",51.23955,22.55257,5/5,390 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,brak informacji,brak informacji,brak informacji,pierwotny
1,502 152 zł,"59,78 m²",Trzy pokoje w stanie deweloperskim / Dziesiąta,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Dziesiąta, Lublin, Lublin",51.223095,22.570588,1/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,brak informacji,brak informacji,brak informacji,pierwotny
