option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,399 000 zł,"62,3 m²",Sprzedam 3 pokoje Lubartów blisko centrum,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Lubartów, lubartowski, lubelskie",51.460482,22.609015,2/2,270 zł,spółdzielcze wł. z KW,Zapytaj,Zapytaj,brak informacji,2009,blok,nie,brak informacji,brak informacji,pustak,wtórny
1,280 000 zł,"33,8 m²",Mieszkanie idealne dla singla - Czuby,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Czuby, Lublin, Lublin",51.234664,22.515778,2/4,470 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1985,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,419 000 zł,"46,62 m²","Mieszkanie, 46,62 m², Lublin",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"os. Zana, Lublin, Lublin",51.24768,22.596108,1/4,480 zł,pełna własność,balkon,Zapytaj,brak informacji,1977,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,318 000 zł,"35,66 m²",Umeblowane mieszkanie do wprowadzenia - 2 pokoje,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Dziesiąta, Lublin, Lublin",51.228096,22.573322,1/3,120 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,1910,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
1,330 000 zł,"33,74 m²",Dwupokojowe mieszkanie w kamienicy,2,do zamieszkania,Współrzędne dokładne,"Lublin, Dziesiąta, ul. Władysława Kunickiego",51.220383,22.578339,3/4,300 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,1970,kamienica,nie,brak informacji,drzwi / okna antywłamaniowe,cegła,wtórny
1,499 000 zł,"64,9 m²","Mieszkanie na sprzedaż, Lublin, Ponikwoda,",3,do zamieszkania,Współrzędne dokładne,"Lublin, Ponikwoda, ul. Mariańska",51.268384,22.57433,parter/4,880 zł,spółdzielcze wł. z KW,balkon,garaż/miejsce parkingowe,brak informacji,1995,blok,nie,brak informacji,domofon / wideofon,beton komórkowy,wtórny
1,461 250 zł,"61,5 m²","Mieszkanie trzy pokojowe, Puławy",3,do zamieszkania,Współrzędne dokładne,"ul. Franciszka Lessla , Puławy, puławski",51.413872,21.982578,3/4,320 zł,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
1,600 000 zł,"66,7 m²",Trzypokojowe mieszkanie z ogródkiem,3,do zamieszkania,Współrzędne dokładne,"ul. Janusza Kusocińskiego , Puławy, puławski",51.422714,21.971697,parter/4,350 zł,pełna własność,"ogródek, taras",Zapytaj,brak informacji,1993,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,449 000 zł,"52,1 m²",Przytulne dwa pokoje na Węglinku.,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Węglin, Lublin, Lublin",51.222311,22.492854,parter/3,246 zł,pełna własność,balkon,Zapytaj,2023-04-30,2012,blok,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",pustak,wtórny
1,439 000 zł,"61,45 m²",Bronowice_cztery pokoje_niski blok_do wejścia,4,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Bronowice, Lublin, Lublin",51.233472,22.59558,parter/3,800 zł,pełna własność,balkon,Zapytaj,2023-05-04,1961,blok,nie,"telewizja kablowa, internet",brak informacji,cegła,wtórny
1,647 000 zł,"68,16 m²",Przestronne oszczędne mieszkanie z dużym tarasem,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Ponikwoda, Lublin, Lublin",51.270456,22.583623,parter/3,390 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2010,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",inne,wtórny
