option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,345 720 zł,"51,6 m²","Mieszkania, Zbąszynek",3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Zbąszynek, świebodziński, lubuskie",52.24454,15.81807,1,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,szeregowiec,nie,internet,"drzwi / okna antywłamaniowe, rolety antywłamaniowe",pustak,pierwotny
1,265 050 zł,"35,34 m²",Nowe mieszkanie w doskonałej lokalizacji,2,do wykończenia,Współrzędne dokładne,"ul. Wojska Polskiego , Słubice, słubicki",52.356008,14.56239,Zapytaj,Zapytaj,pełna własność,Zapytaj,Zapytaj,2024-08-31,2022,blok,nie,brak informacji,brak informacji,silikat,pierwotny
1,336 303 zł,"42,57 m²",Nowa Cegielnia - 2 pokoje - Czerwiec 2023,2,do wykończenia,Współrzędne dokładne,"Gorzów Wielkopolski, Centrum, ul. Warszawska 185",52.736584,15.272292,2/3,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,silikat,pierwotny
1,335 400 zł,"25,94 m²","2 pokojowa kawalerka, centrum, deptak, niższy VAT",2,do wykończenia,Współrzędne dokładne,"Zielona Góra, Centrum, ul. Kazimierza Wielkiego",51.94336,15.510334,3/3,175 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",silikat,pierwotny
1,452 460 zł,"75,41 m²",Kostrzyńska 42 | atrakcyjne mieszkanie KAB-BM12,4,do wykończenia,Współrzędne dokładne,"ul. Kostrzyńska 42, Gorzów Wielkopolski, Gorzów Wielkopolski",52.721767,15.18714,2/2,600 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet",domofon / wideofon,silikat,pierwotny
1,490 165 zł,"75,41 m²",Kostrzyńska 42 | wyjątkowe mieszkanie KAB-4M,4,do wykończenia,Współrzędne dokładne,"ul. Kostrzyńska 42, Gorzów Wielkopolski, Gorzów Wielkopolski",52.721767,15.18714,parter/2,600 zł,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet",domofon / wideofon,silikat,pierwotny
1,473 770 zł,"64,9 m²",3 pokojowe mieszkanie na Anny Jagiellonki,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Zielona Góra, Zielona Góra, lubuskie",51.94633,15.49585,4/5,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,apartamentowiec,nie,brak informacji,brak informacji,brak informacji,pierwotny
1,"400 125,60 zł","56,04 m²","Nowe Mieszkanie, Bez Pcc, Zarezerwuj Już Teraz",3,do wykończenia,Współrzędne dokładne,"Zielona Góra, Łężyca, Łężyca-Geologów",51.98333,15.48333,parter/4,Zapytaj,Zapytaj,ogródek,Zapytaj,2023-10-01,2023,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
1,398 732 zł,"48,04 m²",Nowa Cegielnia - 2 pokoje z ogródkiem,2,do wykończenia,Współrzędne dokładne,"Gorzów Wielkopolski, Centrum, ul. Warszawska 185",52.736584,15.272292,parter/3,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,silikat,pierwotny
1,833 000 zł,70 m²,"Apartament w centrum, nowy, prestiżowy, gotowy !!!",4,do wykończenia,Współrzędne dokładne,"Zielona Góra, Centrum, ul. Kazimierza Wielkiego",51.94336,15.510334,3/3,650 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",silikat,pierwotny
