option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,284 278 zł,38 m²,Słoneczne mieszkanie na sprzedaż,2,do zamieszkania,Współrzędne dokładne,"Zielona Góra, Centrum, ul. Majora Henryka Sucharskiego",51.933586,15.488751,3/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,domofon / wideofon,beton,wtórny
1,350 000 zł,"65,46 m²",Zamienię/sprzedam Mieszkanie własnościowe na Dom,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Żary, żarski, lubuskie",51.651501,15.133466,parter,300 zł,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,brak informacji,kamienica,nie,"telewizja kablowa, internet",drzwi / okna antywłamaniowe,cegła,wtórny
1,419 700 zł,"58,5 m²","2-pok. mieszkanie |58,5m2| Rzeźniczaka",2,do zamieszkania,Współrzędne dokładne,"ul. Franciszka Rzeźniczaka , Zielona Góra, Zielona Góra",51.957942,15.502551,4/4,300 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2015,apartamentowiec,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",silikat,wtórny
1,290 000 zł,"67,1 m²","2-pokojowe 59,2 m2 mieszkanie z piwnicą",2,do zamieszkania,Współrzędne dokładne,"ul. Składowa , Czerwieńsk, zielonogórski",52.015917,15.397846,3/4,650 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1997,blok,nie,telewizja kablowa,"domofon / wideofon, rolety antywłamaniowe",brak informacji,wtórny
1,230 000 zł,"62,43 m²",Mieszkanie 3-pokojowe 3 684 zł. za m2,3,do zamieszkania,Współrzędne dokładne,"Nowa Sól, nowosolski, lubuskie",51.79804,15.76635,parter/2,280 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,2023-05-13,brak informacji,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
1,199 000 zł,"59,23 m²","Mieszkanie, 59,23 m², Szprotawa",2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Szprotawa, żagański, lubuskie",51.564,15.5362,1/2,170 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,cegła,wtórny
1,562 000 zł,"64,97 m²",jasny przestronny apartament,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Osiedle Europejskie, Gorzów Wielkopolski, Gorzów Wielkopolski",52.735754,15.197398,1,420 zł,Zapytaj,balkon,Zapytaj,brak informacji,2022,brak informacji,tak,brak informacji,brak informacji,brak informacji,wtórny
1,409 000 zł,"41,95 m²",nowe stylowe wykońcozne pod klucz,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Osiedle Europejskie, Gorzów Wielkopolski, Gorzów Wielkopolski",52.735754,15.197398,parter/3,300 zł,Zapytaj,balkon,Zapytaj,brak informacji,2022,brak informacji,tak,brak informacji,brak informacji,brak informacji,wtórny
1,375 000 zł,"57,5 m²",Cena W Dół!!! Urocze Mieszkanie Na Os. Piaski !,2,Zapytaj,Współrzędne dokładne,"Piaski, Gorzów Wielkopolski, Gorzów Wielkopolski",52.751796,15.229282,1/3,560 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,2000,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,315 000 zł,78 m²,"Mieszkanie Krosno Odrzańskie, 75m2 + poddasze 60m",3,do zamieszkania,Współrzędne dokładne,"ul. Jaskółcza , Krosno Odrzańskie, krośnieński",52.05479,15.08294,1/1,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,brak informacji,dom wolnostojący,nie,brak informacji,brak informacji,cegła,wtórny
