option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,980 000 zł,68 m²,3 pokojowe mieszkanie na Żoliborzu / os.Potok,3,do zamieszkania,Współrzędne dokładne,"Warszawa, Żoliborz, ul. Tylżycka",52.2808,20.984037,9/13,850 zł,spółdzielcze własnościowe,balkon,garaż/miejsce parkingowe,brak informacji,1986,blok,tak,brak informacji,"teren zamknięty, domofon / wideofon",inne,wtórny
1,1 100 000 zł,73 m²,Trzy pokoje w apartamentowcu z pięknym widokiem,3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Ochota, Warszawa, Warszawa",52.20997,20.96727,7/12,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2012,apartamentowiec,tak,brak informacji,brak informacji,brak informacji,wtórny
1,432 000 zł,27 m²,Funkcjonalna kawalerka z pięknym widokiem na park,1,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Bielany, Warszawa, Warszawa",52.29332,20.92866,10/10,300 zł,spółdzielcze własnościowe,Zapytaj,garaż/miejsce parkingowe,brak informacji,1970,blok,tak,brak informacji,system alarmowy,brak informacji,wtórny
1,999 000 zł,"104,6 m²",Funkcjonalny apartament z dużym garażem,4,do zamieszkania,Współrzędne dokładne,"ul. Magnolii , Józefosław, piaseczyński",52.101333,21.042996,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2002,blok,nie,brak informacji,monitoring / ochrona,brak informacji,wtórny
1,462 000 zł,47 m²,Funkcjonalne mieszkanie z garderobą,2,Zapytaj,Współrzędne dokładne,"ul. Szkolna , Piaseczno, piaseczyński",52.078183,21.023127,1/3,470 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,1962,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,520 000 zł,"53,2 m²",Piękny widok w przystępnej cenie,3,do remontu,Współrzędne dokładne,"Warszawa, Targówek, ul. Krasnobrodzka",52.298836,21.046647,9/10,868 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1976,blok,tak,brak informacji,monitoring / ochrona,wielka płyta,wtórny
1,559 000 zł,48 m²,2 pokoje na Warszawskim Mokotowie,2,do wykończenia,Współrzędne dokładne,"Warszawa, Mokotów, ul. Nicejska",52.175666,21.049588,1/12,550 zł,spółdzielcze wł. z KW,Zapytaj,garaż/miejsce parkingowe,2023-05-08,1976,blok,tak,brak informacji,domofon / wideofon,wielka płyta,wtórny
1,619 000 zł,50 m²,"Ustawne, dwustronne w kamienicy, do wejścia, ciche",2,do zamieszkania,Współrzędne dokładne,"Warszawa, Praga-Południe, ul. Osowska",52.245175,21.103068,3/4,870 zł,pełna własność,balkon,Zapytaj,brak informacji,1959,kamienica,nie,"telewizja kablowa, internet",brak informacji,cegła,wtórny
1,1 030 000 zł,"43,19 m²",2 pokoje Żoliborz Artystyczny - bezpośrednio,2,do zamieszkania,Współrzędne dokładne,"Warszawa, Żoliborz, ul. Powązkowska",52.257611,20.966062,1/7,400 zł,pełna własność,balkon,Zapytaj,brak informacji,2022,blok,nie,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,wtórny
1,1 030 000 zł,"43,19 m²",2 pokoje Żoliborz Artystyczny - bezpośrednio,2,do zamieszkania,Współrzędne dokładne,"Warszawa, Żoliborz, ul. Powązkowska",52.257611,20.966062,1/7,400 zł,pełna własność,balkon,Zapytaj,brak informacji,2022,blok,nie,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,wtórny
1,684 000 zł,"57,9 m²","Mokotów, 3 pokoje, balkon, Garderoba, Metro Służew",3,do zamieszkania,Współrzędne dokładne,"Warszawa, Służew, ul. Wolfganga Amadeusza Mozarta",52.171923,21.029002,1/10,700 zł,Zapytaj,balkon,Zapytaj,brak informacji,1977,blok,tak,brak informacji,brak informacji,żelbet,wtórny
1,1 450 000 zł,"91,61 m²",ul.Granitowa Wyścigi ciche 4 pokoje dla rodziny,4,Zapytaj,Współrzędne dokładne,"Warszawa, Służewiec, ul. Granitowa",52.16653,21.01314,2/8,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2012,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,579 000 zł,"39,28 m²",Nowa niższa cena Plac Hallera Mieszkanie 39 m2,1,do zamieszkania,Współrzędne dokładne,"Warszawa, Praga-Północ, pl. Plac gen. Józefa Hallera",52.25986,21.02865,3/5,590 zł,pełna własność,Zapytaj,Zapytaj,2023-02-21,1956,kamienica,tak,brak informacji,domofon / wideofon,cegła,wtórny
1,2 049 785 zł,115 m²,4 Pokoje - Mokotów - Stan deweloperski,4,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Mokotów, Warszawa, Warszawa",52.178166,21.04056,2/2,1 140 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",brak informacji,wtórny
1,699 000 zł,35 m²,Słoneczne mieszkanie obok Placu Zbawiciela centrum,2,do zamieszkania,Współrzędne dokładne,"Warszawa, Śródmieście Południowe, ul. Piękna",52.223503,21.018525,5/6,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,1960,blok,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",cegła,wtórny
1,320 800 zł,"26,1 m²",Przetarg Ofertowy - ul. Grenadierów 12,1,Zapytaj,Współrzędne dokładne,"Warszawa, Praga-Południe, ul. Grenadierów",52.238745,21.085546,1,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,494 000 zł,"55,2 m²",Piękne 2-pokojowe mieszkanie 55 m2 w centrum,2,do zamieszkania,Współrzędne dokładne,"ul. Zegara Słonecznego , Radom, Radom",51.407606,21.154558,3/5,490 zł,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2012,apartamentowiec,tak,brak informacji,monitoring / ochrona,pustak,wtórny
1,239 000 zł,48 m²,3-pokojowe mieszkanie do remontu 48m²-os.XV-Lecie.,3,do remontu,Współrzędne dokładne,"Radom, Osiedle XV-lecia, ul. 11 Listopada",51.412487,21.168709,parter/4,450 zł,Zapytaj,balkon,Zapytaj,brak informacji,1964,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,364 000 zł,"48,6 m²",2 pokoje pierwsze piętro w centrum ul. Chrobrego,2,do zamieszkania,Współrzędne dokładne,"Radom, Osiedle XV-lecia, ul. Bolesława Chrobrego",51.407776,21.157455,1/10,470 zł,Zapytaj,balkon,Zapytaj,brak informacji,1970,blok,tak,brak informacji,brak informacji,wielka płyta,wtórny
1,530 000 zł,"38,5 m²",Kawalerka na bliskiej Woli,1,do zamieszkania,Współrzędne dokładne,"Warszawa, Wola, ul. Grabowska",52.229699,20.954529,parter/3,405 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1965,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,1 135 000 zł,"51,73 m²","JAŚMINOWY MOKOTÓW- bezpośr. 2022, Nowe, Nieużywane",2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Mokotów, Warszawa, Warszawa",52.19832,21.01715,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",brak informacji,wtórny
1,540 000 zł,"47,7 m²",MIESZKANIE 48 M2 -2 POKOJE UL DYBOWSKIEGO - METRO,2,do zamieszkania,Współrzędne dokładne,"Warszawa, Imielin, ul. Benedykta Dybowskiego",52.1499,21.034891,1/10,900 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1980,blok,tak,telewizja kablowa,domofon / wideofon,wielka płyta,wtórny
1,289 000 zł,38 m²,Sprzedam mieszkanie,2,do zamieszkania,Współrzędne dokładne,"ul. Dywizjonu 303 303, Sochaczew, sochaczewski",52.216757,20.233942,2/2,430 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,telewizja kablowa,domofon / wideofon,cegła,wtórny
1,690 000 zł,48 m²,Bez prowizji! 2-pokojowe na Woli. Parking! Metro.,2,do zamieszkania,Współrzędne dokładne,"Warszawa, Wola, ul. Sokołowska",52.233459,20.960163,parter/3,590 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,brak informacji,brak informacji,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,wtórny
1,1 650 000 zł,93 m²,4 pokoje + 2 łazienki W Apartamentowcu - Ochota,4,Zapytaj,Współrzędne dokładne,"Warszawa, Ochota, ul. Grójecka",52.21112,20.97678,1/6,1 000 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,2023-02-03,2009,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",brak informacji,wtórny
1,690 000 zł,48 m²,Bez prowizji! 2-pokojowe na Woli. Parking! Metro.,2,do zamieszkania,Współrzędne dokładne,"Warszawa, Wola, ul. Sokołowska",52.233459,20.960163,parter/3,590 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,brak informacji,brak informacji,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,wtórny
1,1 650 000 zł,93 m²,4 pokoje + 2 łazienki W Apartamentowcu - Ochota,4,Zapytaj,Współrzędne dokładne,"Warszawa, Ochota, ul. Grójecka",52.21112,20.97678,1/6,1 000 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,2023-02-03,2009,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",brak informacji,wtórny
1,659 000 zł,68 m²,3 pokoje z Garażem i 2 Balkonami,3,do zamieszkania,Współrzędne dokładne,"ul. Energetyczna , Piaseczno, piaseczyński",52.08953,21.02559,7/8,670 zł,pełna własność,balkon,garaż/miejsce parkingowe,2023-04-28,2009,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,680 000 zł,"53,05 m²",Kamienica Na Ochocie | 2 pokoje,2,Zapytaj,Współrzędne dokładne,"Warszawa, Ochota, ul. Karola Dickensa",52.2074,20.96891,parter/3,670 zł,pełna własność,Zapytaj,Zapytaj,2022-09-15,1959,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
1,1 070 700 zł,83 m²,"3 pokoje, wysoki standard, Ursynów",3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Ursynów, Warszawa, Warszawa",52.13785,21.02912,2/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,2000,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,550 000 zł,37 m²,Księcia Janusza II metro!/ Garbińskiego/37m2/Wola,2,do zamieszkania,Współrzędne dokładne,"Warszawa, Wola, ul. Kajetana Garbińskiego",52.235513,20.943591,6/10,500 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1970,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,646 000 zł,"49,7 m²",SASKA KĘPA piękne 2pok48m Centrum8min BEZPOŚREDNIO,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Saska Kępa, Warszawa, Warszawa",52.23059,21.06051,9/12,630 zł,pełna własność,balkon,Zapytaj,brak informacji,1981,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,wtórny
1,559 000 zł,"50,5 m²",Mieszkanie 3 pokoje Piaseczno + 2 miejsca garażowe,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Piaseczno, piaseczyński",52.082874,21.043801,3/3,"532,60 zł",pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2008,blok,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",cegła,wtórny
1,484 000 zł,"37,5 m²","Stare Bielany ul Kulczycka, metro, balkon, cicho!",1,do zamieszkania,Współrzędne dokładne,"Warszawa, Bielany, ul. Kulczycka",52.281903,20.9411,3/4,500 zł,pełna własność,balkon,Zapytaj,brak informacji,1959,brak informacji,nie,brak informacji,monitoring / ochrona,cegła,wtórny
1,595 000 zł,"56,8 m²",Ceniona Chomiczówka w zasięgu ręki,3,do remontu,Współrzędne dokładne,"Warszawa, Chomiczówka, ul. Pabla Nerudy",52.27676,20.927213,7/15,680 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1980,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,wielka płyta,wtórny
1,490 000 zł,36 m²,"Piękne 2-pokojowe mieszkanie z ogródkiem, Marki",2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Marki, wołomiński, mazowieckie",52.32129,21.10589,parter/2,Zapytaj,pełna własność,"ogródek, taras",Zapytaj,brak informacji,2015,apartamentowiec,nie,internet,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",brak informacji,wtórny
1,395 000 zł,"80,21 m²","Mieszkanie, 80,21 m², Radom",4,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Gołębiów I, Radom, Radom",51.41383,21.183282,4/4,650 zł,spółdzielcze wł. z KW,Zapytaj,Zapytaj,brak informacji,1981,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,646 000 zł,"49,7 m²",SASKA KĘPA piękne 2pok48m Centrum8min BEZPOŚREDNIO,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Saska Kępa, Warszawa, Warszawa",52.23059,21.06051,9/12,630 zł,pełna własność,balkon,Zapytaj,brak informacji,1981,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,wtórny
1,559 000 zł,"50,5 m²",Mieszkanie 3 pokoje Piaseczno + 2 miejsca garażowe,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Piaseczno, piaseczyński",52.082874,21.043801,3/3,"532,60 zł",pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2008,blok,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",cegła,wtórny
