option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,449 000 zł,"94,14 m²",Połowa domu w Nowym Sączu osiedle Kochanowskiego,4,do zamieszkania,Współrzędne dokładne,"Kochanowskiego, Nowy Sącz, Nowy Sącz",49.617454,20.715333,1/1,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1930,dom wolnostojący,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",inne,wtórny
1,459 000 zł,54 m²,"Mistrzejowice, 2 pokoje z jasną kuchnią",2,do zamieszkania,Współrzędne dokładne,"Kraków, Mistrzejowice, os. Bohaterów Września",50.100887,20.009564,4/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1990,blok,nie,"internet, telefon",brak informacji,beton,wtórny
1,240 000 zł,20 m²,"Widokowa kawalerka na os.Azory, Prądnik Biały",1,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Prądnik Biały, Kraków, Kraków",50.088358,19.909758,10/10,200 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,tak,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon",wielka płyta,wtórny
1,449 000 zł,"49,3 m²","Kurdwanów, 2 niezależne pokoje, I piętro, loggia",2,do zamieszkania,Współrzędne dokładne,"Kraków, Kurdwanów, ul. Stanisława Stojałowskiego",50.005643,19.94825,1/4,790 zł,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,736 600 zł,"63,5 m²",Gotowe | 3 Pokojowe | 1 ha Park,3,do wykończenia,Współrzędne dokładne,"Kraków, Prądnik Biały, ul. Piaszczysta",50.09851,19.92601,2/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",inne,wtórny
1,610 000 zł,"54,29 m²","Trzy pokoje 54,29m2, balkon ,Mydlniki",3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Mydlniki, Kraków, Kraków",50.08355,19.856526,2/3,589 zł,pełna własność,balkon,Zapytaj,brak informacji,2010,blok,nie,brak informacji,"teren zamknięty, domofon / wideofon",cegła,wtórny
1,420 000 zł,83 m²,"Kraków, Dojazdów, bezczynszowe, 83m2 BEZ PROWIZJI",4,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Dojazdów, krakowski, małopolskie",50.12109,20.11412,1/1,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,1900,dom wolnostojący,nie,"telewizja kablowa, internet, telefon",brak informacji,cegła,wtórny
1,395 000 zł,54 m²,Mieszkanie 3 pokoje Oświęcim,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Oświęcim, oświęcimski, małopolskie",50.03574,19.22832,1,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,1976,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,577 000 zł,"55,14 m²",3 pokoje do wejścia,3,do zamieszkania,Współrzędne dokładne,"Kraków, Nowa Huta, Osiedle Wysokie",50.09043,20.01809,3/4,770 zł,Zapytaj,Zapytaj,Zapytaj,2023-03-31,1965,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",pustak,wtórny
1,483 900 zł,26 m²,★ Nowoczesne studio ★ Blisko rynku ★ Gotowe ★,1,do zamieszkania,Współrzędne dokładne,"Kraków, Krowodrza, ul. Mazowiecka",50.07337,19.93037,parter/4,170 zł,pełna własność,Zapytaj,Zapytaj,2023-05-05,brak informacji,kamienica,nie,brak informacji,domofon / wideofon,cegła,wtórny
