option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,930 000 zł,"70,39 m²","Apartament 3 pokoje + ogródek, Wola Justowską",3,do wykończenia,Współrzędne dokładne,"Kraków, Wola Justowska, ul. Królowej Jadwigi",50.069696,19.859669,parter/1,450 zł,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,"internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,1 424 000 zł,"107,35 m²","Apartament 4 pokoje + taras, Wola Justowska",4,do wykończenia,Współrzędne dokładne,"Kraków, Wola Justowska, ul. Królowej Jadwigi",50.06964,19.859326,1/1,600 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,"internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,699 000 zł,"52,56 m²","Apartament 3 pokoje + ogródek, Wola Justowska",3,do wykończenia,Współrzędne dokładne,"Kraków, Wola Justowska, ul. Królowej Jadwigi",50.069806,19.859412,parter/1,400 zł,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,1 572 720 zł,"117,82 m²","Apartament 5 pokoi + taras, Wola Justowska",5,do wykończenia,Współrzędne dokładne,"Kraków, Wola Justowska, ul. Królowej Jadwigi",50.069806,19.859412,1/1,600 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,440 000 zł,"51,92 m²",mieszkanie 2-pokojowe,2,do wykończenia,Współrzędne dokładne,"ul. Stefana Batorego , Niepołomice, wielicki",50.041313,20.225903,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,brak informacji,"teren zamknięty, domofon / wideofon",pustak,pierwotny
1,809 000 zł,"137,11 m²","4/5 pokoi, Petrazyckiego, 137 m2 + ogródek",4,do wykończenia,Współrzędne dokładne,"Kraków, Sidzina, ul. Leona Petrażyckiego",49.97924,19.86463,parter/2,Zapytaj,pełna własność,"balkon, ogródek",garaż/miejsce parkingowe,brak informacji,2022,dom wolnostojący,nie,internet,drzwi / okna antywłamaniowe,pustak,pierwotny
1,859 000 zł,119 m²,Mieszkanie/pół domu w Balicach z pięknym widokiem,5,do wykończenia,Współrzędne dokładne,"Balice, krakowski, małopolskie",50.092254,19.794815,1/1,600 zł,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,dom wolnostojący,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",pustak,pierwotny
1,399 878 zł,"51,07 m²",BOCHNIA Strzelecka 200m2 ogródek! GOTOWE MIESZKAN,3,Zapytaj,Współrzędne dokładne,"Bochnia, bocheński, małopolskie",49.954771,20.42764,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,2023,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
1,999 000 zł,69 m²,Aleja Pokoju|Gotowe do zamieszkania|69 m2,3,do zamieszkania,Współrzędne dokładne,"Kraków, Czyżyny, Aleja Pokoju",50.066543,20.008069,parter/5,700 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",żelbet,pierwotny
1,1 168 000 zł,"70,77 m²","3-pokojowy apartament z tarasem, Wola Justowska",3,do wykończenia,Współrzędne dokładne,"Kraków, Wola Justowska, ul. Morelowa",50.069642,19.871887,1/1,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2024,apartamentowiec,nie,internet,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,1 918 000 zł,"120,6 m²","4-pokojowy apartament z ogródkiem, Wola Justowska",4,do wykończenia,Współrzędne dokładne,"Kraków, Wola Justowska, ul. Morelowa",50.069642,19.871887,parter/1,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2024,apartamentowiec,nie,internet,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,2 067 000 zł,"130,01 m²","4-pokojowy apartament z tarasem, Wola Justowska",4,do wykończenia,Współrzędne dokładne,"Kraków, Wola Justowska, ul. Morelowa",50.069642,19.871887,1/1,650 zł,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2024,apartamentowiec,nie,internet,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,931 000 zł,"56,42 m²","Apartament 3-pokojowy z ogródkiem, Wola Justowska",3,do wykończenia,Współrzędne dokładne,"Kraków, Wola Justowska, ul. Morelowa",50.069642,19.871887,parter/1,400 zł,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2024,apartamentowiec,nie,internet,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,3 380 000 zł,140 m²,"The Emaus - apartament z tarasem, 5 pokoi",5,do wykończenia,Współrzędne dokładne,"Kraków, Wola Justowska, ul. Emaus",50.06334,19.893286,1/1,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2024,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,2 510 000 zł,"126,11 m²","The Emaus - apartament z ogródkiem, 4 pokoje",4,do wykończenia,Współrzędne dokładne,"Kraków, Wola Justowska, ul. Emaus",50.063285,19.893372,parter/1,650 zł,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2024,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,495 000 zł,"42,2 m²",Nowe Kraków Płaszów bezpośrednio BEZ PODATKU,2,do wykończenia,Współrzędne dokładne,"Kraków, Płaszów, ul. Myśliwska",50.045324,19.992425,parter/4,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,brak informacji,brak informacji,brak informacji,pierwotny
1,371 900 zł,"39,54 m²",Wieliczka Park - Etap Verde,2,do wykończenia,Współrzędne dokładne,"Wieliczka, wielicki, małopolskie",49.987062,20.064797,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,internet,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
1,453 900 zł,"48,24 m²",Nowość Osiedle Verde - Bezpośrednio od Dewelopera,3,do wykończenia,Współrzędne dokładne,"Wieliczka, wielicki, małopolskie",49.987062,20.064797,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
1,399 000 zł,"43,17 m²",Nowość Osiedle Verde - Bezpośrednio od Dewelopera,3,do wykończenia,Współrzędne dokładne,"Wieliczka, wielicki, małopolskie",49.987062,20.064797,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,internet,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
1,443 900 zł,"50,23 m²",Nowość Osiedle Verde - Bezpośrednio od Dewelopera,3,do wykończenia,Współrzędne dokładne,"Wieliczka, wielicki, małopolskie",49.987062,20.064797,parter/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
1,439 000 zł,"56,09 m²",Тут починається нове життя,3,do wykończenia,Współrzędne dokładne,"Wieliczka, wielicki, małopolskie",49.987062,20.064797,1/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,pierwotny
1,546 920 zł,"62,15 m²",Wieliczka Park - Etap Verde,3,do wykończenia,Współrzędne dokładne,"Wieliczka, wielicki, małopolskie",49.987062,20.064797,1/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
1,409 000 zł,"43,86 m²",Bezpośrednio Od Dewelopera|Promocja,3,do zamieszkania,Współrzędne dokładne,"Wieliczka, wielicki, małopolskie",49.987062,20.064797,1/3,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2022,blok,nie,brak informacji,brak informacji,brak informacji,pierwotny
1,939 782 zł,"65,05 m²",Nowe | rozkładowe | 3 pokoje | do wejścia | ENG,3,do zamieszkania,Współrzędne dokładne,"Kraków, Prądnik Czerwony, al. 29 Listopada 108",50.088858,19.957536,2/3,500 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2021,brak informacji,tak,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
1,1 240 000 zł,"103,5 m²",Dwupoziomowy cichy 5pokoi do wykończenia bez 2%,5,do wykończenia,Współrzędne dokładne,"Kraków, Zwierzyniec, ul. Przegon",50.058287,19.903869,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2020,brak informacji,nie,brak informacji,domofon / wideofon,pustak,pierwotny
1,493 804 zł,"60,22 m²",Apartamenty Sadowa !,3,do wykończenia,Współrzędne dokładne,"Skawina, krakowski, małopolskie",49.971,19.846138,1/1,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,szeregowiec,nie,brak informacji,brak informacji,beton komórkowy,pierwotny
1,493 000 zł,"76,56 m²",Gotowe mieszkanie do odbioru!,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Oświęcim, oświęcimski, małopolskie",50.03574,19.22832,1/1,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,2022,szeregowiec,nie,brak informacji,brak informacji,beton komórkowy,pierwotny
1,289 000 zł,"55,13 m²",Komfortowe mieszkanie 3-pokojowe w super cenie,3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Tarnów, Tarnów, małopolskie",50.04567,20.99642,1/1,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2024,szeregowiec,nie,brak informacji,brak informacji,brak informacji,pierwotny
1,449 190 zł,"75,6 m²","Wyjątkowe mieszkanie z antresolą (75,6m2 + 30m2)",3,do wykończenia,Współrzędne dokładne,"ul. Jana Kantego , Kęty, oświęcimski",49.8944,19.22764,1/1,Zapytaj,pełna własność,"balkon, taras",Zapytaj,brak informacji,2023,szeregowiec,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon",pustak,pierwotny
