prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
575 000 zł,"85,31 m²","Apartament/Szereg, 4 pokoje, ogródek, bezczynszowe",4,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Kiełczów, wrocławski, dolnośląskie",51.140599,17.188059,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2022,szeregowiec,nie,internet,"drzwi / okna antywłamaniowe, teren zamknięty, rolety antywłamaniowe",silikat,pierwotny
698 999 zł,"54,19 m²",Cicha Okolica | 3 Pokoje Z Balkonem | Przy Rzece,3,Zapytaj,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Gorlicka",51.14425,17.10861,2/3,650 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,brak informacji,domofon / wideofon,brak informacji,pierwotny
Zapytaj o cenę,"44,41 m²",2-pokojowe mieszkanie 44m2 + taras Bezpośrednio,2,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Żmudzka",51.14468,17.141409,parter/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
538 895 zł,"60,55 m²","Zatorska, GOTOWE 3 pok. 60,55 m2 GRATIS KOMÓRKA",3,Zapytaj,Współrzędne dokładne,"Wrocław, Zakrzów, ul. Zatorska",51.16035,17.133835,4/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2021,blok,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,pierwotny
360 000 zł,"45,57 m²",2 pokoje z balkonem bezpośrednio od dewelopera,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Zgorzelisko, Wrocław, Wrocław",51.13856,17.12836,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,nie,"telewizja kablowa, internet",domofon / wideofon,brak informacji,pierwotny
410 000 zł,"59,98 m²",3 pokoje 60 m2 - bardzo słoneczne,3,Zapytaj,Współrzędne dokładne,"ul. Mikołaja Kopernika 11, Oleśnica, oleśnicki",51.213595,17.406299,1/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,brak informacji,tak,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon",brak informacji,pierwotny
Zapytaj o cenę,"93,91 m²",5-pokojowe mieszkanie 93m2 + taras Bez Pośredników,5,do wykończenia,Współrzędne dokładne,"Wrocław, Fabryczna, ul. Popowicka",51.130247,16.990086,4/8,Zapytaj,pełna własność,"taras, balkon",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
472 000 zł,"70,48 m²",3 pokojowe z ogródkiem. Super cena!,3,Zapytaj,Współrzędne dokładne,"ul. Mikołaja Kopernika , Oleśnica, oleśnicki",51.213703,17.406342,parter/4,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,brak informacji,tak,brak informacji,"domofon / wideofon, rolety antywłamaniowe",brak informacji,pierwotny
388 000 zł,"49,21 m²",2 pokoje z balkonem bezpośrednio od dewelopera,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Zgorzelisko, Wrocław, Wrocław",51.13856,17.12836,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,brak informacji,nie,"telewizja kablowa, internet",domofon / wideofon,brak informacji,pierwotny
489 000 zł,"79,33 m²",Nowe Mieszkanie Willowe od dewelopera 20/80,4,do wykończenia,Współrzędne dokładne,"ul. Jałowcowa , Kiełczówek, wrocławski",51.116066,17.18706,1/1,Zapytaj,pełna własność,"balkon, ogródek",garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,internet,drzwi / okna antywłamaniowe,pustak,pierwotny
434 380 zł,"58,7 m²",Kopernika 16 | funkcjonalne mieszkanie BM12,3,do wykończenia,Współrzędne dokładne,"ul. Mikołaja Kopernika , Oleśnica, oleśnicki",51.211813,17.401766,1/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
425 000 zł,"59,03 m²",3 pokoje z ogródkiem,3,Zapytaj,Współrzędne dokładne,"ul. Mikołaja Kopernika 11g, Oleśnica, oleśnicki",51.213407,17.406686,parter/4,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,brak informacji,brak informacji,tak,"telewizja kablowa, internet","domofon / wideofon, rolety antywłamaniowe",brak informacji,pierwotny
Zapytaj o cenę,"116,81 m²",5-pokojowe mieszkanie 116m2 + ogródek Bezpośrednio,5,do wykończenia,Współrzędne dokładne,"ul. Ks. Norberta Bończyka , Karłowice, lubański",51.13875,17.03838,parter/2,Zapytaj,pełna własność,"taras, balkon, ogródek",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
299 000 zł,"36,8 m²",OGRÓDEK | Najlepsza CENA | Bezpieczny Kredyt 2%HIT,2,Zapytaj,Współrzędne dokładne,"Wrocław, Krzyki, ul. Ignacego Mościckiego",51.060848,17.085707,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,blok,nie,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",cegła,pierwotny
519 000 zł,"43,99 m²",2-pokojowe mieszkanie 43m2 + balkon Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Wrocław, Szczepin, Długa/ul. Gnieźnieńska",51.123956,17.014852,parter/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
910 351 zł,"77,3 m²",4-pokojowe mieszkanie 77m2 + balkon Bezpośrednio,4,do wykończenia,Współrzędne dokładne,"Wrocław, Szczepin, Długa/ul. Gnieźnieńska",51.123956,17.014852,parter/9,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
424 963 zł,"55,19 m²","Gotowe mieszkania, Św. Katarzyna, Siechnice",3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Brochów, Wrocław, Wrocław",51.06,17.08,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,nie,brak informacji,"teren zamknięty, domofon / wideofon",brak informacji,pierwotny
288 435 zł,"23,45 m²",Kawalerka - Gotowa w MARCU 2023,1,do zamieszkania,Współrzędne dokładne,"Wrocław, Partynice, ul. Partynicka",51.06357,16.993057,1/6,100 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
