option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,467 836 zł,"57,07 m²",najpiękniejsza panorama Opola o wschodzie słońca,3,do zamieszkania,Współrzędne dokładne,"Opole, Zaodrze, ul. Szymona Koszyka",50.66798,17.901719,6/10,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1976,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,wtórny
1,150 000 zł,30 m²,Mieszkanie / lokal użytkowy 30m Kluczbork 2Poziomy,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Kluczbork, kluczborski, opolskie",50.97266,18.21523,parter/2,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,kamienica,nie,"telewizja kablowa, internet",drzwi / okna antywłamaniowe,cegła,wtórny
1,79 000 zł,49 m²,Mieszkanie na parterze 20 min. od Opola,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Lipowa, opolski, opolskie",50.70217,17.68001,parter/1,100 zł,pełna własność,ogródek,Zapytaj,brak informacji,brak informacji,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
1,650 000 zł,103 m²,Sprzedam BEZCZYNSZOWE Apartamenty w OPOLU,4,do wykończenia,Współrzędne dokładne,"Opole, Grudzice, ul. Tadeusza Borowskiego",50.652311,17.986502,1/1,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2022,szeregowiec,nie,brak informacji,"drzwi / okna antywłamaniowe, rolety antywłamaniowe",cegła,pierwotny
1,449 000 zł,60 m²,Osiedle Wiosenne Opole-Prószków,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Opole, Opole, opolskie",50.66987,17.91934,parter/1,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,dom wolnostojący,nie,brak informacji,"drzwi / okna antywłamaniowe, rolety antywłamaniowe",cegła,pierwotny
1,320 000 zł,"62,04 m²",sprzedaż,3,do zamieszkania,Współrzędne dokładne,"ul. Gałczyńskiego , Kluczbork, kluczborski",50.98084,18.21809,3/4,470 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1985,blok,nie,"telewizja kablowa, internet",domofon / wideofon,żelbet,wtórny
1,560 000 zł,120 m²,"Mieszkanie, 120 m², Opole",4,Zapytaj,Współrzędne dokładne,"Groszowice, Opole, Opole",50.62913,17.95947,1/1,450 zł,pełna własność,"balkon, ogródek, taras",Zapytaj,brak informacji,brak informacji,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
1,150 000 zł,"34,55 m²","Mieszkanie 34,55m2 na sprzedaz",2,do remontu,Współrzędne dokładne,"Kędzierzyn-Koźle, kędzierzyńsko-kozielski, opolskie",50.348364,18.221775,4/4,240 zł,pełna własność,balkon,Zapytaj,brak informacji,1967,blok,nie,brak informacji,brak informacji,żelbet,wtórny
1,569 000 zł,69 m²,"Spokojna lokalizacja! Komfortowe, antresola",3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Kolonia Gosławicka, Opole, Opole",50.66178,17.99272,2/2,580 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,395 000 zł,"48,03 m²","Chabry,3pokojowe z balkonem po całkowitym remoncie",3,do zamieszkania,Współrzędne dokładne,"ul. Chabrów , Opole, Opole",50.680278,17.936446,parter/10,420 zł,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,wtórny
1,479 000 zł,82 m²,"ZWM, duże 4 pokojowe z balkonem, do zamieszkania",4,do zamieszkania,Współrzędne dokładne,"Opole, ZWM, ul. Majora ""Hubala""",50.682751,17.952449,parter/10,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,wtórny
1,143 000 zł,33 m²,"Mieszkanie, Azoty, podzielne, 33mkw, 2 pokoje",2,Zapytaj,Współrzędne dokładne,"Kędzierzyn-Koźle, kędzierzyńsko-kozielski, opolskie",50.3259,18.2474,3/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,419 000 zł,"47,39 m²",3pokoje +balkon. Media miejskie. PACHNĄCE NOWOŚCIĄ,3,do zamieszkania,Współrzędne dokładne,"Opole, Zaodrze, ul. Alojzego Dambonia 2",50.665136,17.889973,4/4,"389,18 zł",pełna własność,balkon,Zapytaj,brak informacji,1975,blok,nie,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
1,300 000 zł,48 m²,"Kup i zamieszkaj, 2 pokoje z balkonem, pod klucz",2,do zamieszkania,Współrzędne dokładne,"Kędzierzyn-Koźle, kędzierzyńsko-kozielski, opolskie",50.346077,18.221099,9/10,400 zł,pełna własność,balkon,Zapytaj,brak informacji,1970,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,wielka płyta,wtórny
1,460 000 zł,"64,4 m²",Dzień otwarty: sobota 13 maja. godz. 11.00,3,do zamieszkania,Współrzędne dokładne,"ul. Bielska , Opole, Opole",50.67322,17.97109,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",wielka płyta,wtórny
1,335 000 zł,"62,28 m²",Nowoczesne mieszkanie na Reymonta / Garaż / Balkon,3,do zamieszkania,Współrzędne dokładne,"ul. Władysława Stanisława Reymonta , Namysłów, namysłowski",51.072684,17.707489,4/4,Zapytaj,spółdzielcze własnościowe,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet",domofon / wideofon,żelbet,wtórny
1,539 000 zł,49 m²,Mieszkanie 49 m2 ul. Górna - Apartamenty Platinium,2,do zamieszkania,Współrzędne dokładne,"ul. Górna , Opole, Opole",50.678165,17.979726,3/4,700 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2019,apartamentowiec,tak,internet,brak informacji,pustak,wtórny
1,250 380 zł,"19,26 m²",PIXEL / Mikroapartament / Kawalerka / Inwestycja,1,do wykończenia,Współrzędne dokładne,"Opole, Gosławice, ul. Kazimierza Sosnkowskiego",50.685698,17.948724,1/2,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,blok,nie,internet,"domofon / wideofon, rolety antywłamaniowe",silikat,pierwotny
1,635 000 zł,66 m²,3 pokoje 66m2 ^WYSOKI STANDARD^ Ogródek,3,do zamieszkania,Współrzędne dokładne,"Opole, Zaodrze, ul. 10 Sudeckiej Dywizji Zmechanizowanej",50.669677,17.882432,parter/5,600 zł,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2020,blok,tak,brak informacji,"teren zamknięty, domofon / wideofon, rolety antywłamaniowe",silikat,wtórny
1,530 000 zł,"62,6 m²","3 pokoje 62,6 m2 WYSOKI STANDARD Taras/GARAŻ",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Zaodrze, Opole, Opole",50.6736,17.90019,parter/3,650 zł,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2016,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe",pustak,wtórny
