option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,670 000 zł,88 m²,Na sprzedaż apartament bezczynszowy w Opolu,4,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Grudzice, Opole, Opole",50.64736,17.98428,1/2,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,2023-07-01,2023,apartamentowiec,nie,brak informacji,brak informacji,inne,pierwotny
1,650 000 zł,103 m²,Na sprzedaż Apartament bezczynszowy w Opolu,4,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Grudzice, Opole, Opole",50.64736,17.98428,2/2,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,2023-07-01,2023,apartamentowiec,nie,brak informacji,brak informacji,inne,pierwotny
1,364 000 zł,56 m²,Nowe Mieszkanie Na Sprzedaż 56m2,3,do wykończenia,Współrzędne dokładne,"Niemodlin, opolski, opolskie",50.64242,17.61661,2/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,2023,brak informacji,tak,brak informacji,brak informacji,silikat,pierwotny
1,503 493 zł,"72,97 m²",Nowa inwestycja w Nysie! 3pokojowe z ogrodem!,3,do wykończenia,Współrzędne dokładne,"ul. Elizy Orzeszkowej , Nysa, nyski",50.458385,17.316095,parter/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,domofon / wideofon,inne,pierwotny
1,620 469 zł,"87,39 m²",Belweder Nysa! 4pokojowe z balkonem i ogrodem!,4,Zapytaj,Współrzędne dokładne,"ul. Elizy Orzeszkowej , Nysa, nyski",50.458385,17.316095,parter/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,domofon / wideofon,inne,pierwotny
1,686 000 zł,98 m²,Belweder Park Nysa! duże mieszkanie z ogrodem,4,do wykończenia,Współrzędne dokładne,"ul. Elizy Orzeszkowej , Nysa, nyski",50.458385,17.316095,parter/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,domofon / wideofon,inne,pierwotny
1,607 407 zł,"88,03 m²",Belweder Park Nysa! 4pokojowe z balkonem!,4,Zapytaj,Współrzędne dokładne,"ul. Elizy Orzeszkowej , Nysa, nyski",50.458385,17.316095,2/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,domofon / wideofon,inne,pierwotny
1,601 956 zł,"87,24 m²",Belweder Park Nysa! 4pokojowe!,4,Zapytaj,Współrzędne dokładne,"ul. Elizy Orzeszkowej , Nysa, nyski",50.458385,17.316095,1/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,domofon / wideofon,inne,pierwotny
1,604 854 zł,"87,66 m²",Nowa inwestycja w Nysie! 4pokojowe z balkonem!,4,do wykończenia,Współrzędne dokładne,"ul. Elizy Orzeszkowej , Nysa, nyski",50.458385,17.316095,3/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,domofon / wideofon,inne,pierwotny
1,247 000 zł,38 m²,Nowe Mieszkanie Na Sprzedaż 38m2,1,do wykończenia,Współrzędne dokładne,"Niemodlin, opolski, opolskie",50.634197,17.699358,1/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,2023,blok,tak,brak informacji,brak informacji,silikat,pierwotny
1,423 325 zł,"71,75 m²",Mieszkanie z balkonem 71m,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Skarbimierz-Osiedle, brzeski, opolskie",50.83883,17.42773,1/1,150 zł,Zapytaj,balkon,Zapytaj,brak informacji,2021,apartamentowiec,nie,brak informacji,rolety antywłamaniowe,pustak,pierwotny
1,401 808 zł,"60,88 m²",Mieszkanie z ogródkiem 61 m,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Skarbimierz-Osiedle, brzeski, opolskie",50.83883,17.42773,parter/1,150 zł,pełna własność,ogródek,Zapytaj,brak informacji,2021,szeregowiec,nie,brak informacji,rolety antywłamaniowe,pustak,pierwotny
1,366 685 zł,"62,15 m²",Mieszkanie z balkonem 62m,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Skarbimierz-Osiedle, brzeski, opolskie",50.83883,17.42773,1/1,150 zł,pełna własność,balkon,Zapytaj,brak informacji,2021,szeregowiec,nie,brak informacji,rolety antywłamaniowe,pustak,pierwotny
