option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,420 000 zł,67 m²,3 lub 4 pokoje obok Kolegium Nauk Medycznych UR,3,do wykończenia,Współrzędne dokładne,"ul. Leszka Czarnego , Rzeszów, Rzeszów",50.037383,22.039151,2/5,630 zł,spółdzielcze własnościowe,Zapytaj,garaż/miejsce parkingowe,brak informacji,1992,blok,nie,brak informacji,domofon / wideofon,cegła,wtórny
1,699 000 zł,91 m²,4 pokoje nie zamieszkałe gotowe do wejścia!,4,do zamieszkania,Współrzędne dokładne,"Zaczernie, rzeszowski, podkarpackie",50.09406,21.98749,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,nie,internet,brak informacji,cegła,wtórny
1,330 000 zł,"40,1 m²",NOWA INWESTYCJA Osiedle Olbrachta - Domex Rzeszów,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,4/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,pustak,pierwotny
1,330 000 zł,"40,11 m²",Osiedle Olbrachta - Budynek nr 6 - Domex Rzeszów,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,4/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,pustak,pierwotny
1,472 000 zł,"65,63 m²",Domex Rzeszów - NOWY BUDYNEK - Osiedle Olbrachta,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,4/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,pustak,pierwotny
1,435 000 zł,"57,11 m²",Osiedle Olbrachta - Budynek nr 6 - Domex Rzeszów,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,3/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,pustak,pierwotny
1,325 000 zł,"40,33 m²",NOWA INWESTYCJA Osiedle Olbrachta - Domex Rzeszów,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,3/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,pustak,pierwotny
1,470 000 zł,"65,89 m²",Osiedle Olbrachta - Budynek nr 6 - Domex Rzeszów,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,3/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,pustak,pierwotny
1,435 000 zł,"57,11 m²",Domex Rzeszów - NOWY BUDYNEK - Osiedle Olbrachta,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,4/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,pustak,pierwotny
1,422 000 zł,"55,48 m²",Budynek nr 6 - Osiedle Olbrachta - Domex Rzeszów,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,4/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,pustak,pierwotny
