prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
506 747 zł,"59,97 m²","Mieszkanie, 59,97 m², Tarnobrzeg",3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Tarnobrzeg, Tarnobrzeg, podkarpackie",50.56884,21.6735,1/3,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2022,brak informacji,nie,internet,brak informacji,cegła,pierwotny
297 432 zł,"43,74 m²",Mieszkania od dewelopera | nowe kameralne osiedle,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
"349 032,50 zł","46,85 m²",Mieszkanie z własnym ogródkiem w cichej okolicy,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,parter/2,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
388 299 zł,"54,69 m²","Nowe 3-pokojowe mieszkanie 54,69 m balkon parking",3,do wykończenia,Współrzędne dokładne,"ul. ks. bp. Antoniego Betańskiego , Rzeszów, Rzeszów",50.001278,22.079354,parter/1,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,brak informacji,domofon / wideofon,pustak,pierwotny
491 120 zł,"61,39 m²",Mił cena - wkrótce oddanie - nie czekaj! SPRAWDŹ!,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Miła",49.99936,22.005007,1/5,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
794 719 zł,"72,91 m²",3 pokoje | Panorama Kwiatkowskiego | NOWY budynek,3,do wykończenia,Współrzędne dokładne,"ul. Eugeniusza Kwiatkowskiego , Rzeszów, Rzeszów",50.007496,22.000689,5/9,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
788 480 zł,"71,68 m²",4 pokoje| Panorama Kwiatkowskiego | NOWY budynek,4,do wykończenia,Współrzędne dokładne,"ul. Eugeniusza Kwiatkowskiego , Rzeszów, Rzeszów",50.007496,22.000689,6/9,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
761 900 zł,"76,19 m²",Odbierz klucze - ostatnie gotowe mieszkania!,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Władysława Grabskiego",50.01258,21.99599,8/8,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
553 950 zł,"61,55 m²",Ostatni etap - nowe układy i metraże!NIE PRZEGAP!❤,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Urocza 10",50.01519,22.00391,parter/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
Zapytaj o cenę,"63,68 m²","Mieszkanie 63 m.kw., 2 piętro, Mielec M10",4,do wykończenia,Współrzędne dokładne,"ul. Wojsławska , Mielec, mielecki",50.28212,21.431517,2/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
