option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,402 800 zł,53 m²,"Mieszkanie 56m2, Os. Mickiewicza",2,do remontu,Współrzędne dokładne,"Mickiewicza, Białystok, Białystok",53.123496,23.171797,1/4,500 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,569 000 zł,"88,3 m²",Przestronne mieszkanie do własnej aranżacji !!!,4,Zapytaj,Współrzędne dokładne,"Białystok, Nowe Miasto, ul. Zachodnia",53.11007,23.12896,2/3,350 zł,pełna własność,balkon,garaż/miejsce parkingowe,2023-03-13,2001,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,350 000 zł,51 m²,* 3 pokojowe mieszkanie 51 m² os. Piasta *,3,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Piasta, Białystok, Białystok",53.126016,23.180946,> 10/11,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,1974,blok,tak,brak informacji,brak informacji,wielka płyta,wtórny
1,499 000 zł,72 m²,**** 72 M 2 **** III Piętro **** Bojary ****,4,do zamieszkania,Współrzędne dokładne,"Bojary, Białystok, Białystok",53.137902,23.183085,3/4,1 000 zł,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,1983,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,219 000 zł,38 m²,Rezerwacja 2 Broniewskiego 38m2 do negocjacji,2,do remontu,Współrzędne dokładne,"ul. Władysława Broniewskiego , Białystok, Białystok",53.139833,23.130284,3/4,400 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,299 000 zł,31 m²,Mieszkanie 2-pokojowe blisko centrum,2,Zapytaj,Współrzędne dokładne,"Białystok, Przydworcowe, ul. Bohaterów Monte Cassino",53.132461,23.137222,3/10,300 zł,Zapytaj,Zapytaj,Zapytaj,2023-03-13,1978,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,317 000 zł,"37,99 m²",Atrakcyjne - do wprowadzenia - cegła - z balkonem,2,do zamieszkania,Współrzędne dokładne,"Białystok, Antoniuk, ul. Władysława Broniewskiego",53.139049,23.12799,4/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet",brak informacji,cegła,wtórny
1,473 000 zł,"79,3 m²","Mieszkanie M4 79 m2,świetny rozkład, Nowe Miasto",4,Zapytaj,Współrzędne dokładne,"Białystok, Nowe Miasto, ul. Wiejska",53.11429,23.14495,3/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1992,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,314 820 zł,"39,6 m²","Nowe mieszkanie Piano Park, D45",2,do wykończenia,Współrzędne dokładne,"Rotmistrza Witolda Pileckiego , Suwałki, Suwałki",54.123135,22.952963,2/4,Zapytaj,Zapytaj,taras,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet",brak informacji,brak informacji,pierwotny
1,350 000 zł,"60,78 m²",Rodzinne mieszkanie| 3 pokoje |ul. Moniuszki,3,do zamieszkania,Współrzędne dokładne,"ul. Stanisława Moniuszki , Łomża, Łomża",53.169509,22.068677,3/4,320 zł,pełna własność,balkon,Zapytaj,brak informacji,1978,blok,nie,brak informacji,domofon / wideofon,wielka płyta,wtórny
1,327 000 zł,"35,36 m²",Kawalerka w centrum Kopernika,1,Zapytaj,Współrzędne dokładne,"Białystok, Bema, ul. Mikołaja Kopernika",53.12159,23.14587,Zapytaj,370 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2021,apartamentowiec,tak,brak informacji,system alarmowy,brak informacji,wtórny
1,379 000 zł,"48,4 m²",Atrakcyjne - po remoncie - z windą - Dziesięciny,3,do zamieszkania,Współrzędne dokładne,"Białystok, Dziesięciny, ul. gen. Józefa Hallera",53.154289,23.12797,3/7,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,tak,"telewizja kablowa, internet",brak informacji,brak informacji,wtórny
1,265 000 zł,"48,1 m²","Mieszkanie, 2 Pokoje, Suwałki,",2,do remontu,Współrzędne dokładne,"ul. gen. Władysława Andersa , Suwałki, Suwałki",54.12274,22.941256,4/4,Zapytaj,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,telewizja kablowa,brak informacji,wielka płyta,wtórny
1,339 000 zł,"41,6 m²","1 piętro, to może być Twoje mieszkanie",2,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Sienkiewicza, Białystok, Białystok",53.140814,23.162589,1/4,420 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,312 000 zł,39 m²,"2 pokojowe mieszkanie przy Pb, ul. Wiejska",2,do wykończenia,Współrzędne dokładne,"Bema, Białystok, Białystok",53.117661,23.14442,3/4,400 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,369 000 zł,35 m²,*Idealne Na Start Lub Singla* Leśna Dolina,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Leśna Dolina, Białystok, Białystok",53.12917,23.09444,1/5,350 zł,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,brak informacji,brak informacji,wtórny
1,375 000 zł,38 m²,Mieszkanie 38 m2 na oś. Piasta,2,Zapytaj,Współrzędne dokładne,"Białystok, Piasta, ul. Sybiraków",53.13155,23.19641,2/3,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2001,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,489 000 zł,"51,43 m²",Klimatyczne mieszkanie tuż przy Cerkwi Św.Mikołaja,2,do zamieszkania,Współrzędne dokładne,"Białystok, Centrum, ul. św. Mikołaja",53.132415,23.153101,parter/4,700 zł,pełna własność,Zapytaj,Zapytaj,2023-06-01,1959,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,448 848 zł,"62,34 m²","Atrakcyjne mieszkanie w inwestycji Piano Park, D32",3,do wykończenia,Współrzędne dokładne,"Rotmistrza Witolda Pileckiego , Suwałki, Suwałki",54.123135,22.952963,parter/4,Zapytaj,Zapytaj,taras,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,brak informacji,brak informacji,brak informacji,pierwotny
1,639 000 zł,72 m²,Komfortowe dwupoziomowe na Wygodzie,4,do zamieszkania,Współrzędne dokładne,"Białystok, Wygoda, ul. Robotnicza",53.14808,23.19544,1/2,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,2021,szeregowiec,nie,internet,"drzwi / okna antywłamaniowe, teren zamknięty",silikat,pierwotny
1,285 000 zł,"49,5 m²",50-metrowe 2-pok mieszkanie z balkonem! Osiedle II,2,do zamieszkania,Współrzędne dokładne,"os. Osiedle II , Suwałki, Suwałki",54.097891,22.933316,3/3,565 zł,pełna własność,balkon,Zapytaj,brak informacji,1965,blok,nie,brak informacji,domofon / wideofon,cegła,wtórny
1,510 000 zł,"68,9 m²","Nowe Miasto -mieszkania w domach - 69 m2, 74 m2",3,do zamieszkania,Współrzędne dokładne,"Białystok, Nowe Miasto, ul. Starosielce",53.114688,23.106483,1/2,Zapytaj,pełna własność,"balkon, ogródek",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,"telewizja kablowa, internet, telefon",brak informacji,cegła,pierwotny
1,519 173 zł,"50,41 m²",Mieszkanie *50.41 m2* Bojary - Stan Deweloperski,2,do wykończenia,Współrzędne dokładne,"ul. Starobojarska , Białystok, Białystok",53.136618,23.170041,1/4,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,2022,kamienica,tak,brak informacji,brak informacji,brak informacji,pierwotny
1,559 000 zł,"59,3 m²",Bardzo atrakcyjne- 3 pokojowe z garażem i komórką,3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Wygoda, Białystok, Białystok",53.14554,23.19934,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2017,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,655 000 zł,"77,06 m²",Wygodny apartament z ogrodem przy Zwycięstwa,4,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Młodych, Białystok, Białystok",53.136133,23.128156,parter/4,Zapytaj,Zapytaj,"balkon, ogródek",Zapytaj,brak informacji,2023,apartamentowiec,tak,brak informacji,brak informacji,cegła,pierwotny
1,389 000 zł,"63,19 m²",Mieszkanie 4pokojowe do generalnego remontu,4,do remontu,Współrzędne dokładne,"Piasta, Białystok, Białystok",53.129853,23.177451,3/4,500 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,360 000 zł,48 m²,"Mieszkanie, 48 m², Białystok",3,Zapytaj,Współrzędne dokładne,"Białystok, Białystok, podlaskie",53.127115,23.102435,4/4,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,1980,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,450 000 zł,"77,8 m²","Mieszkanie, 77,80 m², Suwałki",4,do zamieszkania,Współrzędne dokładne,"Suwałki, Suwałki, podlaskie",54.12582,22.940334,3/3,"956,34 zł",pełna własność,Zapytaj,Zapytaj,2023-07-15,1990,blok,nie,brak informacji,brak informacji,pustak,wtórny
1,269 000 zł,"48,51 m²","2-pokoje, I Piętro!",2,Zapytaj,Współrzędne dokładne,"Łapy, białostocki, podlaskie",52.991644,22.885723,1/4,500 zł,pełna własność,balkon,Zapytaj,brak informacji,1978,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,435 000 zł,"37,6 m²",** Wyjątkowy Apartament na Żelaznej **,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Piaski, Białystok, Białystok",53.123384,23.1545,2/3,170 zł,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,teren zamknięty,brak informacji,wtórny
