prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
299 000 zł,36 m²,Śliczne mieszkanie do wejścia!,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Antoniuk, Białystok, Białystok",53.139833,23.130284,2/4,260 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1970,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",cegła,wtórny
269 000 zł,"68,8 m²",Przestronne 3-pokojowe mieszkanie w Suwałkach,4,Zapytaj,Współrzędne dokładne,"ul. Wojska Polskiego , Suwałki, Suwałki",54.07131,22.93311,3/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
609 000 zł,"58,71 m²","3 Pokoje, poszukiwane 1 piętro, Bojary !",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Bojary, Białystok, Białystok",53.13554,23.17675,1/3,590 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2013,blok,tak,brak informacji,"system alarmowy, teren zamknięty",brak informacji,wtórny
398 000 zł,67 m²,** Rezerwacja ** Rezerwacja ** Rezerwacja **,3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Białostoczek, Białystok, Białystok",53.146394,23.151676,2/4,800 zł,Zapytaj,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
182 000 zł,65 m²,Rezerwacja,3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Suwałki, Suwałki, podlaskie",54.10253,22.92554,2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
415 000 zł,58 m²,58 mkw_3 pokoje_Piasta,3,do zamieszkania,Współrzędne dokładne,"Białystok, Piasta, ul. Towarowa",53.139133,23.185399,4/4,520 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1978,blok,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,wielka płyta,wtórny
Zapytaj o cenę,"40,38 m²",Mieszkanie - Apartamenty Jagiellońskie VI | B-173,2,do wykończenia,Współrzędne dokładne,"Białystok, Centrum, ul. Jurowiecka",53.13863,23.161015,3/10,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"58,71 m²",Mieszkanie w inwestycji Nowe Kolno | M8,3,do wykończenia,Współrzędne dokładne,"ul. Księcia Janusza I I, Kolno, kolneński",53.40437,21.936363,2/3,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"113,69 m²",M51 Osiedle Parkowa – kup z rabatem do 33 000 zł!,5,do wykończenia,Współrzędne dokładne,"ul. mjr. Jana Tabortowskiego , Grajewo, grajewski",53.6381,22.472824,parter/4,Zapytaj,Zapytaj,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
1 100 000 zł,"114,34 m²",Apartament 114 m2 w centrum z widokiem na miasto,3,do wykończenia,Współrzędne dokładne,"Białystok, Antoniuk, ul. Knyszyńska",53.13723,23.13968,9/9,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,brak informacji,"teren zamknięty, domofon / wideofon",cegła,pierwotny
