option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,397 750 zł,"42,09 m²",Przedsprzedaż Inwestycji ! Vivere Bene,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Ujeścisko-Łostowice, Gdańsk, Gdańsk",54.32814,18.58281,parter/3,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",inne,pierwotny
1,416 000 zł,"54,12 m²",Kup mieszkanie w ramach programu Bezpieczny kredyt,3,do wykończenia,Współrzędne dokładne,"ul. Jeziorna , Rumia, wejherowski",54.590294,18.377167,4/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",silikat,pierwotny
1,374 000 zł,"24,94 m²",Apartament Stegna Forest II - NOWOŚĆ !!! (lok.5),2,Zapytaj,Współrzędne dokładne,"ul. Grunwaldzka , Stegna, nowodworski",54.331276,19.113228,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
1,499 000 zł,"72,16 m²",Domy - Osiedle Primo (14B1),4,do wykończenia,Współrzędne dokładne,"ul. Droga Słowackiego , Rokitnica, gdański",54.269493,18.67719,parter/1,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,brak informacji,brak informacji,silikat,pierwotny
1,1 128 428 zł,"59,08 m²",Willa Narutowicza M6 - 3 pokoje z balkonem NOWość,3,do wykończenia,Współrzędne dokładne,"Gdynia, Wzgórze Św. Maksymiliana, ul. Gabriela Narutowicza",54.501385,18.545368,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,brak informacji,"teren zamknięty, domofon / wideofon",brak informacji,pierwotny
1,556 871 zł,"70,49 m²","Słoneczne, prestiżowe nad morzem z dużym balkonem",3,do wykończenia,Współrzędne dokładne,"ul. Swarzewska , Puck, pucki",54.713516,18.391384,4/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",cegła,pierwotny
1,529 000 zł,58 m²,Neo Jasień - B.54,3,Zapytaj,Współrzędne dokładne,"Gdańsk, Jasień, ul. Aleksandry Gabrysiak",54.335213,18.552912,4,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,2022,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
1,257 000 zł,37 m²,Osiedle Kociewskie – B2.36,2,Zapytaj,Współrzędne dokładne,"ul. Nowa , Rokitki, tczewski",54.07659,18.72977,3,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,2021,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
1,519 000 zł,"78,63 m²",Verde Park w Kosakowie z widokiem na Zatokę,3,do wykończenia,Współrzędne dokładne,"Kosakowo, pucki, pomorskie",54.58442,18.475271,parter/1,100 zł,pełna własność,ogródek,garaż/miejsce parkingowe,2023-03-31,2023,dom wolnostojący,nie,"telewizja kablowa, internet, telefon",drzwi / okna antywłamaniowe,silikat,pierwotny
1,190 414 zł,"32,83 m²","Gościcino ul Morelowa 3/19, Mieszkanie 32.83 m",2,do wykończenia,Współrzędne dokładne,"ul. Wiejska , Gościcino, wejherowski",54.597847,18.13734,3/3,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,blok,nie,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
