option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,1 240 000 zł,"65,75 m²",Słoneczny apartament w Spectrum,3,Zapytaj,Współrzędne dokładne,"Gdańsk, Przymorze, ul. Obrońców Wybrzeża",54.41059,18.59599,3/17,650 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2019,apartamentowiec,tak,brak informacji,brak informacji,brak informacji,wtórny
1,625 000 zł,70 m²,"4 pok z widokiem na las, panoramę miasta i morze",4,do zamieszkania,Współrzędne dokładne,"Gdańsk, Niedźwiednik, ul. Leśna Góra",54.375054,18.560316,6/10,844 zł,pełna własność,"balkon, taras",Zapytaj,brak informacji,1980,blok,tak,brak informacji,brak informacji,cegła,wtórny
1,2 600 000 zł,"74,38 m²",Mieszkanie na sprzedaż 74 m² Gdynia Orłowo,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Orłowo, Gdynia, Gdynia",54.48017,18.55311,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,wtórny
1,490 000 zł,"45,6 m²",Sprzedam mieszkanie 3 pokoje,3,do zamieszkania,Współrzędne dokładne,"Gdynia, Obłuże, ul. adm. Józefa Unruga",54.553684,18.498393,2/4,Zapytaj,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
1,583 000 zł,"41,7 m²",Mieszkanie 2 pok. 700 m od morza po remoncie,2,do zamieszkania,Współrzędne dokładne,"Gdańsk, Jelitkowo, ul. Tysiąclecia",54.418389,18.593439,1/4,300 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,domofon / wideofon,brak informacji,wtórny
1,590 000 zł,"63,87 m²",Piękne Mieszkanie Z Kameralnym Zielonym Ogrodem,3,do zamieszkania,Współrzędne dokładne,"Gdynia, Pogórze, ul. Stefana Czarnieckiego",54.56773,18.48885,parter/4,600 zł,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2018,dom wolnostojący,nie,"telewizja kablowa, internet",teren zamknięty,brak informacji,wtórny
1,345 000 zł,"33,77 m²","Duza przytulna kawalerka Kowale 33,77m2",1,do zamieszkania,Współrzędne dokładne,"ul. Apollina , Kowale, gdański",54.305151,18.569955,2/2,560 zł,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",cegła,wtórny
1,569 000 zł,"64,5 m²",Słoneczne 4 pokojowe mieszkanie obok Aquaparku,4,do zamieszkania,Współrzędne dokładne,"ul. Kosynierów 126, Rumia, wejherowski",54.590816,18.368747,2/4,400 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2020,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",silikat,wtórny
1,379 000 zł,56 m²,"Nowoczesne mieszkanie, po kapitalnym remoncie",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Lębork, lęborski, pomorskie",54.43586,17.73792,1/2,180 zł,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,brak informacji,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
1,539 000 zł,"51,9 m²",Mieszkanie 2-pokojowe z widokiem na morze,2,do zamieszkania,Współrzędne dokładne,"Gdynia, Leszczynki, ul. Stoigniewa",54.527801,18.484285,2/3,486 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2002,blok,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,wtórny
