option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,319 000 zł,"53,58 m²",Giszowiec -Mieszkanie do wejścia.,3,do zamieszkania,Współrzędne dokładne,"Katowice, Giszowiec, ul. Wojciecha",50.22058,19.06402,6/10,700 zł,spółdzielcze własnościowe,balkon,Zapytaj,2023-05-08,brak informacji,blok,tak,"telewizja kablowa, internet",domofon / wideofon,brak informacji,wtórny
1,200 000 zł,31 m²,Duża kawalerka z balkonem,1,Zapytaj,Współrzędne dokładne,"Gliwice, Stare Gliwice, ul. Kozielska",50.3027,18.6396,10/11,Zapytaj,spółdzielcze własnościowe,balkon,Zapytaj,2023-02-28,1970,blok,tak,brak informacji,domofon / wideofon,wielka płyta,wtórny
1,319 000 zł,65 m²,Po generalnym remoncie z wyposażeniem - centrum,3,Zapytaj,Współrzędne dokładne,"Gliwice, Śródmieście, ul. Dolnych Wałów",50.2953,18.6667,2/3,Zapytaj,pełna własność,Zapytaj,Zapytaj,2023-04-20,1940,blok,nie,brak informacji,"teren zamknięty, domofon / wideofon",cegła,wtórny
1,260 000 zł,49 m²,Tychy oś. A ul. Andersa 49 M - 2 pokoje + piwnica,2,Zapytaj,Współrzędne dokładne,"ul. gen. Andersa , Tychy, Tychy",50.134354,18.970049,2/2,720 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,domofon / wideofon,brak informacji,wtórny
1,899 000 zł,80 m²,Luksusowy apartament,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Knurów, gliwicki, śląskie",50.22054,18.67079,2/3,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,brak informacji,brak informacji,wtórny
1,360 000 zł,"54,6 m²","2-pokojowe mieszkanie 54,6m2 + 2 balkony",2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Klimzowiec, Chorzów, Chorzów",50.2825,18.95639,4/4,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,domofon / wideofon,brak informacji,wtórny
1,80 000 zł,28 m²,M2 pełna własność,1,do zamieszkania,Współrzędne dokładne,"Częstochowa, Centrum, ul. Mała",50.80266,19.12662,parter/2,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,2023-04-24,1934,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,250 000 zł,44 m²,"Sprzedam, rozkładowe 2-pokojowe mieszkanie +garaż",2,do remontu,Współrzędne dokładne,"Katowice, Załęże, ul. Gliwicka",50.267411,18.985812,3/3,500 zł,pełna własność,balkon,garaż/miejsce parkingowe,2022-04-25,1970,blok,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,wielka płyta,wtórny
1,248 000 zł,"56,42 m²","Mieszkanie, 56,42 m², Sosnowiec",4,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Pogoń, Sosnowiec, Sosnowiec",50.291118,19.115401,3/4,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,1970,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,248 000 zł,"56,42 m²","Mieszkanie, 56,42 m², Sosnowiec",4,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Pogoń, Sosnowiec, Sosnowiec",50.291118,19.115401,3/4,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,1970,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,377 000 zł,27 m²,Apartament dwa pokoje-Jaszowiec-Ustroń-urządzone,2,do zamieszkania,Współrzędne dokładne,"Ustroń, cieszyński, śląskie",49.705443,18.843335,1/2,500 zł,pełna własność,balkon,Zapytaj,brak informacji,1970,apartamentowiec,nie,"telewizja kablowa, internet",brak informacji,żelbet,wtórny
1,255 000 zł,"60,01 m²","Wyjątkowa oferta sprzedaży mieszkania, Super Cena!",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Sosnowiec, Sosnowiec, śląskie",50.2784,19.144342,4/4,600 zł,pełna własność,balkon,Zapytaj,brak informacji,1992,blok,nie,"telewizja kablowa, internet",brak informacji,brak informacji,wtórny
1,285 000 zł,"51,96 m²","Mieszkanie, 51,96 m², Sosnowiec",2,do zamieszkania,Współrzędne dokładne,"ul. Naftowa , Sosnowiec, Sosnowiec",50.273587,19.119691,3/10,840 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1985,blok,tak,"telewizja kablowa, internet",brak informacji,wielka płyta,wtórny
1,399 000 zł,"62,4 m²",M4/ 1 Piętro/ Częstochowa/ Zawodzie,3,do zamieszkania,Współrzędne dokładne,"Zawodzie - Dąbie, Częstochowa, Częstochowa",50.79755,19.16645,1/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,1990,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,420 000 zł,58 m²,Mieszkanie po generalnym remoncie,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Os. Podłęże, Jaworzno, Jaworzno",50.21013,19.252045,3/3,550 zł,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,270 000 zł,46 m²,Mieszkanie do remontu w świetnej lokalizacji,3,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Osiedle Kopernika, Bielsko-Biała, Bielsko-Biała",49.81778,19.01489,3/4,500 zł,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,1980,blok,nie,brak informacji,domofon / wideofon,cegła,wtórny
1,690 000 zł,64 m²,Gliwice Apartament Karolinki,3,do zamieszkania,Współrzędne dokładne,"Stare Gliwice, Gliwice, Gliwice",50.297454,18.640616,1/4,711 zł,Zapytaj,balkon,Zapytaj,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,system alarmowy,pustak,wtórny
1,115 000 zł,"38,64 m²",Duża kawalerka z niskim czynszem 250zł,1,do remontu,Współrzędne dokładne,"Radlin, wodzisławski, śląskie",50.046905,18.477631,1,250 zł,Zapytaj,ogródek,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,399 000 zł,"72,9 m²",Idealne 4P dla rodziny !!!,4,do zamieszkania,Współrzędne dokładne,"Sosnowiec, Niwka, ul. Kalinowa",50.26097,19.177455,4/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1980,blok,nie,"telewizja kablowa, internet",brak informacji,wielka płyta,wtórny
1,315 000 zł,"60,4 m²","Po remoncie, 3-pokojowe, Będzin ul. A. Wajdy",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Będzin, będziński, śląskie",50.338528,19.120896,3/4,560 zł,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,1985,blok,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",wielka płyta,wtórny
1,839 000 zł,120 m²,Dom w uroczym miejscu!,4,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Goczałkowice-Zdrój, pszczyński, śląskie",49.94231,18.97682,Zapytaj,Zapytaj,pełna własność,"ogródek, taras",Zapytaj,brak informacji,2005,dom wolnostojący,nie,brak informacji,"teren zamknięty, monitoring / ochrona",beton komórkowy,wtórny
1,756 000 zł,106 m²,Elegancki apartament z ogródkiem do zamieszkania,4,do zamieszkania,Współrzędne dokładne,"Katowice, Piotrowice, ul. Bukszpanowa",50.195682,18.969718,1/1,Zapytaj,pełna własność,"balkon, ogródek",Zapytaj,brak informacji,2008,apartamentowiec,nie,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe",cegła,wtórny
1,869 000 zł,158 m²,Przestronny apartament w centrum Częstochowy,4,Zapytaj,Współrzędne dokładne,"Częstochowa, Śródmieście, ul. Waszyngtona",50.81017,19.11316,1/2,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1920,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,225 000 zł,"36,92 m²",Przepiękne dwupokojowe mieszkanie na parterze,2,do zamieszkania,Współrzędne dokładne,"Bytom, Centrum, ul. Artura Grottgera",50.355809,18.926831,parter/2,350 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,domofon / wideofon,cegła,wtórny
1,324 000 zł,"52,4 m²","Mieszkanie, 52,40 m², Częstochowa",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Tysiąclecie, Częstochowa, Częstochowa",50.832449,19.119961,3/4,846 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,nie,internet,brak informacji,brak informacji,wtórny
1,425 000 zł,73 m²,Duże mieszkanie blisko centrum.,4,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Bogucice, Katowice, Katowice",50.26885,19.03961,3/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,279 000 zł,"47,6 m²","Mieszkanie, 47,60 m², Tychy",3,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Glinka, Tychy, Tychy",50.12382,18.9627,1/10,Zapytaj,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,brak informacji,brak informacji,wtórny
1,239 000 zł,"36,2 m²","Mieszkanie, 36,20 m², Tychy",2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Tychy, Tychy, śląskie",50.12707,18.9824,> 10/13,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,brak informacji,brak informacji,wtórny
1,249 000 zł,"59,16 m²",M4 po generalnym remoncie gotowe do zamieszkania,3,do zamieszkania,Współrzędne dokładne,"Ruda Śląska, Godula, ul. Antoniego Tiałowskiego",50.316105,18.88489,parter/3,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,"telewizja kablowa, internet",domofon / wideofon,brak informacji,wtórny
1,235 000 zł,"47,4 m²",Sprzedam M3 Północ parter,2,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Częstochowa, Częstochowa, śląskie",50.84342,19.136718,parter/10,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,brak informacji,wielka płyta,wtórny
1,899 000 zł,75 m²,Sprzedam luksusowy apartament z wyposażeniem,2,do zamieszkania,Współrzędne dokładne,"Katowice, Kostuchna, ul. Bażantów",50.20042,18.983088,1/4,350 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,apartamentowiec,nie,brak informacji,"teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",brak informacji,wtórny
1,229 000 zł,"48,5 m²",Mieszkanie 2-u pokojowe w Wojkowicach- Pow. Będzin,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Wojkowice, będziński, śląskie",50.36039,19.0565,parter/4,250 zł,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",cegła,wtórny
