option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,452 000 zł,"60,4 m²",** Trzypokojowy apartament 60 m2 D&D INVESTMENT **,3,do wykończenia,Współrzędne dokładne,"Sosnowiec, Zagórze, ul. Mielecka",50.286827,19.191929,3/4,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",pustak,pierwotny
1,479 000 zł,"64,66 m²",* D&D INVESTMENT Apartament trzypokoje + taras *,3,do wykończenia,Współrzędne dokładne,"Sosnowiec, Zagórze, ul. Mielecka",50.286827,19.191929,2/4,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",pustak,pierwotny
1,1 150 000 zł,"81,26 m²",Nowa Cena! Penthouse w Dolinie Trzech Stawów!,4,do wykończenia,Współrzędne dokładne,"Katowice, Osiedle Paderewskiego, ul. gen. Władysława Sikorskiego",50.252738,19.041881,8/8,Zapytaj,Zapytaj,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,brak informacji,monitoring / ochrona,brak informacji,pierwotny
1,431 135 zł,"37,49 m²",Okam Inspire | 2 pokoje / 37m2 + Ogródek 27m2 Top!,2,do wykończenia,Współrzędne dokładne,"Katowice, Osiedle Paderewskiego, ul. gen. Władysława Sikorskiego",50.252459,19.041073,parter/8,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,brak informacji,monitoring / ochrona,brak informacji,pierwotny
1,579 255 zł,"50,37 m²",Okam Inspire | 2 pokoje / 50m2 | Top!,2,do wykończenia,Współrzędne dokładne,"Katowice, Osiedle Paderewskiego, ul. gen. Władysława Sikorskiego",50.252459,19.041073,4/8,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,brak informacji,monitoring / ochrona,brak informacji,pierwotny
1,305 000 zł,50 m²,"2 pokoje z balkonem, Będzin, Warpie",2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Warpie, Będzin, będziński",50.31807,19.14638,5/10,650 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,brak informacji,blok,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",wielka płyta,pierwotny
1,297 629 zł,"44,63 m²",Nowe mieszkania w bardzo dobrej lokalizacji! Windy,2,do wykończenia,Współrzędne dokładne,"Tarnowskie Góry, Śródmieście, ul. Adama Mickiewicza",50.44415,18.83608,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",cegła,pierwotny
1,435 189 zł,"55,35 m²",Nowe mieszkanie! Gotowe w sierpniu! Rabat do 15%!,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Żwaków, Tychy, Tychy",50.1111,18.95675,1/7,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon",brak informacji,pustak,pierwotny
1,436 582 zł,"53,72 m²",Nowe mieszkanie! Gotowe w sierpniu! Rabat do 15%!,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Żwaków, Tychy, Tychy",50.1111,18.95675,2/7,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon",brak informacji,pustak,pierwotny
1,428 452 zł,53 m²,Nowe mieszkanie! Gotowe w sierpniu! Rabat do 15%!,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Żwaków, Tychy, Tychy",50.1111,18.95675,6/7,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon",brak informacji,pustak,pierwotny
