option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,"289 716,80 zł","42,11 m²",!!! PRZEDSPRZEDAŻ MIESZKAŃ - Młyńska Ogrody 3 !!!,2,do wykończenia,Współrzędne dokładne,"ul. Młyńska , Busko-Zdrój, buski",50.464245,20.708566,2/2,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,blok,nie,internet,"teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,pierwotny
1,"351 568,40 zł","52,63 m²",!!! PRZEDSPRZEDAŻ MIESZKAŃ - Młyńska Ogrody 3 !!!,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Busko-Zdrój, buski, świętokrzyskie",50.47086,20.72001,2/2,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,blok,nie,brak informacji,brak informacji,cegła,pierwotny
1,646 000 zł,120 m²,ŁOWIECKA PARK. Dom w cenie mieszkania.,5,Zapytaj,Współrzędne dokładne,"ul. Łowiecka 9, Skarżysko-Kamienna, skarżyski",51.123314,20.857648,Zapytaj,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",beton komórkowy,pierwotny
1,407 440 zł,"46,3 m²",Apartamenty Uzdrowiskowe HYGGE ul. Waryńskiego,2,Zapytaj,Współrzędne dokładne,"ul. Ludwika Waryńskiego , Busko-Zdrój, buski",50.46109,20.709238,1/4,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2024,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,pierwotny
1,587 000 zł,"64,6 m²","Czteropokojowe mieszkanie przy Wietrzni - 64,60m²",4,do wykończenia,Współrzędne dokładne,"Wietrznia, Kielce, Kielce",50.851314,20.646001,1/2,Zapytaj,pełna własność,"ogródek, taras",Zapytaj,brak informacji,2023,apartamentowiec,nie,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",beton komórkowy,pierwotny
1,402 810 zł,"46,3 m²","Apartament 46,30m2 z tarasem - Strefa Uzdrowiskowa",2,do wykończenia,Współrzędne dokładne,"ul. Ludwika Waryńskiego , Busko-Zdrój, buski",50.46109,20.709238,parter/4,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2024,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,pierwotny
1,600 000 zł,"71,32 m²","Czteropokojowe mieszkanie przy Wietrzni - 71,32m²",4,do wykończenia,Współrzędne dokładne,"Wietrznia, Kielce, Kielce",50.85126,20.646113,2/2,Zapytaj,pełna własność,"balkon, ogródek, taras",Zapytaj,brak informacji,2023,apartamentowiec,nie,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",beton komórkowy,pierwotny
1,765 000 zł,"96,06 m²","Czteropokojowy apartament przy Wietrzni - 96,06m²",4,do wykończenia,Współrzędne dokładne,"Wietrznia, Kielce, Kielce",50.852672,20.653844,2/2,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",beton komórkowy,pierwotny
1,726 000 zł,"110,54 m²","Czteropokojowy apartament przy Wietrzni - 110,54m²",4,do wykończenia,Współrzędne dokładne,"Wietrznia, Kielce, Kielce",50.852662,20.654139,1/2,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe",beton komórkowy,pierwotny
1,1 084 900 zł,"92,31 m²",Już gotowy ! 4 pokoje 2 balkony Baranówek,4,do zamieszkania,Współrzędne dokładne,"Kielce, Baranówek, ul. Artylerzystów",50.851063,20.605708,2/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,2023-05-08,2022,apartamentowiec,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,pierwotny
1,589 000 zł,48 m²,Mieszkanie 48m2 - 3 pokoje - już gotowe !!!,3,do zamieszkania,Współrzędne dokładne,"ul. Górna , Kielce, Kielce",50.877414,20.650556,6/6,300 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2022,blok,tak,internet,"teren zamknięty, domofon / wideofon, monitoring / ochrona",silikat,pierwotny
