option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,659 000 zł,79 m²,Mieszkanie 4 pokoje 1 piętro okolice Barwinka,4,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Kielce, Kielce, świętokrzyskie",50.844594,20.625289,1/4,800 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,1999,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,339 000 zł,"36,2 m²",Kielce Warszawska - 36 m2 i 3 pokoje - DASZ WIARĘ?,3,do zamieszkania,Współrzędne dokładne,"Kielce, Szydłówek, ul. Warszawska",50.886446,20.64161,6/10,300 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,brak informacji,blok,tak,brak informacji,domofon / wideofon,brak informacji,wtórny
1,550 000 zł,"59,7 m²",Mieszkanie 3-pokojowe na os. Pod Telegrafem,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Pod Telegrafem, Kielce, Kielce",50.84415,20.63988,3/3,600 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2011,apartamentowiec,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",brak informacji,wtórny
1,610 000 zł,"170,26 m²","Mieszkanie 105,73m2 Barwinek 5 pokoi",5,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Barwinek, Kielce, Kielce",50.84939,20.62949,1/1,Zapytaj,Zapytaj,"balkon, ogródek",garaż/miejsce parkingowe,brak informacji,1980,dom wolnostojący,nie,brak informacji,teren zamknięty,cegła,wtórny
1,220 000 zł,30 m²,Kawalerka 2 piętro os. Ksm,1,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"KSM, Kielce, Kielce",50.865658,20.651555,2/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,337 000 zł,"50,5 m²","ul. Bukowa , Szydłówek , 3 pokojowe",3,do zamieszkania,Współrzędne dokładne,"Kielce, Szydłówek, ul. Bukowa",50.88642,20.64047,2/3,530 zł,pełna własność,balkon,Zapytaj,brak informacji,1968,blok,nie,brak informacji,domofon / wideofon,cegła,wtórny
1,247 000 zł,"34,8 m²",Mieszkanie 2 pokoje os. Ksm,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"KSM, Kielce, Kielce",50.862885,20.660321,3/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,365 000 zł,"47,3 m²","2 pokoje, 47.3 m2 os. Bocianek do wejścia",2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Bocianek, Kielce, Kielce",50.884945,20.644022,4/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,525 000 zł,"42,6 m²",Na sprzedaż mieszkanie 2 pok. w nowym budownictwie,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Kielce, Kielce",50.87157,20.63153,1/3,250 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2013,brak informacji,tak,brak informacji,brak informacji,brak informacji,wtórny
1,397 000 zł,48 m²,"Mieszkanie 48 m2, 1 pietro Kielce, Jezioranskiego",2,do zamieszkania,Współrzędne dokładne,"Kielce, Os. Świętokrzyskie, ul. Jana Nowaka-Jeziorańskiego",50.889608,20.669301,1/4,Zapytaj,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",wielka płyta,wtórny
1,367 000 zł,"57,2 m²","3 pokoje, 58m2, wygodne, przestronne, po remoncie",3,do zamieszkania,Współrzędne dokładne,"ul. gen. Żółkiewskiego-""Lina"" , Sandomierz, sandomierski",50.683787,21.730484,3/4,680 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1983,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,260 000 zł,"34,7 m²","Mieszkanie 2 pokoje w centrum Kielc, 34,7 m.",2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Kielce, Kielce",50.8681,20.630326,3/4,500 zł,pełna własność,balkon,Zapytaj,brak informacji,1955,kamienica,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon",cegła,wtórny
1,325 000 zł,"47,8 m²",Sprzedam mieszkanie,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Bocianek, Kielce, Kielce",50.8855,20.64705,1/4,508 zł,pełna własność,balkon,Zapytaj,brak informacji,1975,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",wielka płyta,wtórny
1,429 000 zł,"72,3 m²",Trzy pokoje z aneksem - super miejsce w centrum,3,do zamieszkania,Współrzędne dokładne,"Kielce, Centrum, ul. Generała Józefa Bema",50.861218,20.634889,3/3,264 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,2023-05-15,1965,blok,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",cegła,wtórny
1,380 000 zł,61 m²,"Mieszkanie 3-pokojowe -Sandomierz, Maciejowskiego",3,do zamieszkania,Współrzędne dokładne,"ul. Ignacego Maciejowskiego 6, Sandomierz, sandomierski",50.686665,21.727937,2/4,Zapytaj,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,589 000 zł,"50,78 m²","Mieszkanie 3 pok, 50,78m2 ul. Sandomierska, Kielce",3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Nowy Folwark, Kielce, Kielce",50.867609,20.660158,1/2,320 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2021,apartamentowiec,nie,brak informacji,brak informacji,brak informacji,wtórny
1,250 000 zł,31 m²,"Nowoczesna kawalerka z umeblowaniem, pod studentów",2,Zapytaj,Współrzędne dokładne,"Kielce, Centrum, ul. Bodzentyńska",50.872197,20.637442,1/2,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,kamienica,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",brak informacji,wtórny
1,165 000 zł,35 m²,Kawalarka 35 m2,1,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Stawki, Ostrowiec Świętokrzyski, ostrowiecki",50.94919,21.40906,8/10,Zapytaj,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,1986,blok,tak,telewizja kablowa,brak informacji,brak informacji,wtórny
1,449 000 zł,"60,65 m²","Mieszkanie,ul.Gagarina, Centrum, Sprzedaż, Zamiana",3,Zapytaj,Współrzędne dokładne,"Kielce, Centrum, ul. Majora Jurija Gagarina",50.862151,20.621354,parter/3,720 zł,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",cegła,wtórny
1,268 000 zł,42 m²,Mieszkanie 42m2 ul Karczówkowska Centrum,2,do remontu,Współrzędne dokładne,"Kielce, Centrum, ul. Karczówkowska",50.867996,20.605662,8/10,320 zł,pełna własność,balkon,Zapytaj,brak informacji,1976,blok,tak,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
1,379 000 zł,"59,6 m²","Mieszkanie 59,60 m2 ul.Orkana os. Uroczysko",3,Zapytaj,Współrzędne dokładne,"ul. Władysława Orkana , Kielce, Kielce",50.895005,20.646336,4/4,550 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1980,blok,nie,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
1,320 000 zł,"49,17 m²","Mieszkanie 49,17m2 ul Barwinek os Barwinek",2,Zapytaj,Współrzędne dokładne,"Kielce, Barwinek, ul. Barwinek",50.849203,20.632823,4/4,425 zł,pełna własność,balkon,Zapytaj,brak informacji,1983,blok,nie,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
1,286 000 zł,"46,3 m²","Mieszkanie 46,3 m2 ul Mazurska os Ksm",2,Zapytaj,Współrzędne dokładne,"Kielce, KSM, ul. Mazurska",50.867857,20.650614,4/4,430 zł,pełna własność,balkon,Zapytaj,brak informacji,1973,blok,nie,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
1,330 000 zł,56 m²,"Mieszkanie 4 pokojowe, Czarnów",4,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Czarnów, Kielce, Kielce",50.879359,20.60639,9/10,700 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,1975,blok,tak,"telewizja kablowa, internet",brak informacji,wielka płyta,wtórny
1,280 000 zł,51 m²,Mieszkanie Piekoszów,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Piekoszów, kielecki, świętokrzyskie",50.87993,20.46267,1/2,550 zł,Zapytaj,balkon,Zapytaj,brak informacji,1980,blok,nie,internet,brak informacji,pustak,wtórny
1,400 000 zł,"54,8 m²","M3 dwupokojowe 54,8 mkw Ślichowice Massalskiego",2,do remontu,Współrzędne dokładne,"Kielce, Ślichowice, ul. Edmunda Massalskiego",50.883514,20.585378,2/4,615 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,wtórny
1,205 000 zł,46 m²,*** Mieszkanie M3 46m2 na parterze. ***,2,do zamieszkania,Współrzędne dokładne,"ul. Henryka Sienkiewicza , Ostrowiec Świętokrzyski, ostrowiecki",50.94775,21.365118,parter/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,cegła,wtórny
1,1 387 000 zł,"145,99 m²","Mieszkanie 4 pok., 145,99 m2, ul. Wojska Polskiego",4,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Kielce, Kielce",50.849225,20.648456,3/3,600 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2009,brak informacji,nie,brak informacji,brak informacji,cegła,wtórny
1,1 305 480 zł,"118,68 m²","Mieszkanie 4-pok, 118,6m2, taras 65m2, Plaza Tower",4,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Kielce, Kielce",50.894786,20.631531,> 10/16,Zapytaj,Zapytaj,taras,garaż/miejsce parkingowe,brak informacji,2024,apartamentowiec,tak,brak informacji,system alarmowy,brak informacji,wtórny
