option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,389 000 zł,"56,5 m²","57 m, Jagiellońska, 10 min do Centrum, 2 pokoje",2,do zamieszkania,Współrzędne dokładne,"ul. Jagiellońska , Olsztyn, Olsztyn",53.789763,20.488789,2/4,400 zł,pełna własność,balkon,Zapytaj,brak informacji,2004,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,wtórny
1,359 000 zł,"47,2 m²","Centrum miasta, 3 pokoje, Twój Nowy Dom",3,do zamieszkania,Współrzędne dokładne,"ul. Janowska 1, Elbląg, Elbląg",54.156719,19.403624,parter/2,536 zł,pełna własność,balkon,Zapytaj,2023-06-12,1961,blok,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",cegła,wtórny
1,299 000 zł,"52,6 m²",Przytulne mieszkanie 2-pokojowe,2,Zapytaj,Współrzędne dokładne,"ul. Robotnicza 252, Elbląg, Elbląg",54.185111,19.401927,5/7,627 zł,spółdzielcze wł. z KW,balkon,Zapytaj,2023-04-24,1985,blok,tak,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
1,329 999 zł,61 m²,Mieszkanie w kamienicy 2 pokojowe,2,do zamieszkania,Współrzędne dokładne,"ul. Adama Mickiewicza , Elbląg, Elbląg",54.15622,19.41699,2/2,Zapytaj,pełna własność,Zapytaj,Zapytaj,2023-04-24,brak informacji,kamienica,nie,brak informacji,domofon / wideofon,cegła,wtórny
1,369 000 zł,"49,2 m²",Gotowe do wprowadzenia | Mieszkanie 3-pokojowe,3,Zapytaj,Współrzędne dokładne,"ul. Władysława Broniewskiego , Elbląg, Elbląg",54.18644,19.42004,2/4,Zapytaj,spółdzielcze własnościowe,balkon,Zapytaj,2023-05-08,1985,blok,nie,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
1,419 999 zł,"59,32 m²",Okazja do końca Maja !! Wykorzystaj Szansę,4,Zapytaj,Współrzędne dokładne,"ul. Jana Brzechwy , Elbląg, Elbląg",54.18834,19.41916,3/3,Zapytaj,Zapytaj,balkon,Zapytaj,2023-05-09,1982,blok,nie,internet,domofon / wideofon,wielka płyta,wtórny
1,180 998 zł,24 m²,Okazja do końca Maja !! Wykorzystaj Szansę,1,Zapytaj,Współrzędne dokładne,"ul. Władysława IV , Elbląg, Elbląg",54.16782,19.41459,3/4,Zapytaj,spółdzielcze własnościowe,Zapytaj,Zapytaj,2023-05-05,1985,blok,nie,brak informacji,domofon / wideofon,wielka płyta,wtórny
1,995 000 zł,170 m²,Piękny dom w centrum Elbląga w bardzo dobrej cenie,4,do zamieszkania,Współrzędne dokładne,"ul. Cicha , Elbląg, Elbląg",54.171247,19.406969,parter/3,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2021,szeregowiec,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe",cegła,wtórny
1,519 000 zł,"57,09 m²",Mieszkanie na Mazurach wysoki standard,3,do zamieszkania,Współrzędne dokładne,"ul. Morelowa , Szafranki, ostródzki",53.689926,19.948873,1/3,500 zł,pełna własność,balkon,Zapytaj,brak informacji,2020,apartamentowiec,nie,brak informacji,brak informacji,brak informacji,wtórny
1,289 000 zł,"36,5 m²",Dwupokojowe mieszkanie na Zatorzu!,2,do zamieszkania,Współrzędne dokładne,"Olsztyn, Zatorze, ul. Jagiellońska",53.790327,20.491312,3/3,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1968,blok,nie,brak informacji,monitoring / ochrona,cegła,wtórny
1,170 000 zł,"49,9 m²",2 pokojowe mieszkanie w okolicach Biskupca,2,do zamieszkania,Współrzędne dokładne,"Kojtryny, olsztyński, warmińsko-mazurskie",53.826557,20.866277,1/2,Zapytaj,pełna własność,"balkon, ogródek",Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,689 000 zł,"69,39 m²",Nowe mieszkanie w wysokim standardzie,4,do zamieszkania,Współrzędne dokładne,"ul. Poprzeczna , Olsztyn, Olsztyn",53.791147,20.508319,5/9,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2020,blok,tak,brak informacji,brak informacji,cegła,wtórny
