option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,550 719 zł,"67,99 m²",Fale Bałtyku | 4 pokojowe mieszkanie z TARASEM,4,do wykończenia,Współrzędne dokładne,"ul. Krzysztofa Kolumba , Kołobrzeg, kołobrzeski",54.159264,15.55803,4/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,550 719 zł,"67,99 m²",Fale Bałtyku | 4 pokojowe mieszkanie z TARASEM,4,do wykończenia,Współrzędne dokładne,"ul. Krzysztofa Kolumba , Kołobrzeg, kołobrzeski",54.159264,15.55803,4/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",żelbet,pierwotny
1,859 992 zł,"51,19 m²",SOLARIS | nowoczesny apartament A403,2,do wykończenia,Współrzędne dokładne,"ul. Słowiańska , Darłowo, sławieński",54.44218,16.389807,4/8,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,"internet, telefon","teren zamknięty, domofon / wideofon",brak informacji,pierwotny
1,642 006 zł,"79,26 m²",apartament Wojska Polskiego,3,do wykończenia,Współrzędne dokładne,"al. Wojska Polskiego , Szczecin, Szczecin",53.447147,14.521225,2/2,Zapytaj,Zapytaj,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2019,apartamentowiec,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona",silikat,pierwotny
1,587 000 zł,"68,2 m²",Apartament z balkonem 3 pokoje Osów Niemena,3,Zapytaj,Współrzędne dokładne,"Osów, Szczecin, Szczecin",53.47711,14.525565,Zapytaj,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,brak informacji,nie,internet,"system alarmowy, monitoring / ochrona, rolety antywłamaniowe",silikat,pierwotny
1,"331 238,60 zł","34,54 m²",Apartamenty nad morzem 150 M od plaży.,2,Zapytaj,Współrzędne dokładne,"ul. Ku Morzu , Sianożęty, kołobrzeski",51.91944,19.14514,1/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,2023,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
1,539 000 zł,"34,32 m²",⭐️OKAZJA!⭐️Najtańsze 2 pokoje w Hanza Tower⭐️,2,do wykończenia,Współrzędne dokładne,"Szczecin, Centrum, al. Wyzwolenia 46",53.437994,14.553769,2/27,455 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,"telewizja kablowa, internet","system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
1,554 820 zł,"39,63 m²",Ustronnie Residence | dwupokojowe mieszkanie M22,2,Zapytaj,Współrzędne dokładne,"ul. Osiedlowa , Ustronie Morskie, kołobrzeski",54.211334,15.752555,2/3,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,tak,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
1,320 000 zł,32 m²,Nowoczesne apartamenty / Małe Błonia/ LiderHouse,1,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Szczecin, Szczecin, zachodniopomorskie",53.39368,14.51525,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,nie,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",silikat,pierwotny
1,495 040 zł,"72,8 m²",★Zamieszkaj tuż przy CENTRUM★ Stargard,3,do wykończenia,Współrzędne dokładne,"Stargard, Centrum, ul. Kwiatowa",53.347506,15.029871,Zapytaj,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,brak informacji,brak informacji,nie,"telewizja kablowa, internet",brak informacji,silikat,pierwotny
