option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,389 000 zł,"124,54 m²",Mieszkanie 3 Pokojowe Z Garażem I Ogródkiem,3,Zapytaj,Współrzędne dokładne,"Stargard, Centrum, ul. Rzeźnicza",53.345285,15.040195,1/4,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,brak informacji,kamienica,nie,brak informacji,brak informacji,brak informacji,wtórny
1,399 000 zł,39 m²,"Pogodno, 2 pokoje, miejsce parkingowe",2,do zamieszkania,Współrzędne dokładne,"Szczecin, Pogodno, ul. Horeszków",53.442136,14.484789,2/2,260 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,2000,blok,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",cegła,wtórny
1,565 000 zł,"73,02 m²","Słoneczne 3 pokoje (73m2), Niebuszewo",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Niebuszewo, Szczecin, Szczecin",53.444853,14.550899,2/3,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
1,950 000 zł,85 m²,Przepiękny NOWY apartament z widokiem na Odrę !,4,do zamieszkania,Współrzędne dokładne,"Szczecin, Stare Miasto, ul. Świętego Ducha 6",53.422741,14.557344,7/7,300 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",silikat,wtórny
1,2 250 000 zł,"41,33 m²","Piękny apartament z widokiem na morze, 5* resort",2,Zapytaj,Współrzędne dokładne,"Międzyzdroje, kamieński, zachodniopomorskie",53.926164,14.433082,5/10,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,"telewizja kablowa, internet","system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,wtórny
1,455 000 zł,"53,5 m²","Pogodno, wyremontowane, piękna okolica",2,do zamieszkania,Współrzędne dokładne,"Szczecin, Pogodno, ul. Franciszka Kleeberga",53.440361,14.492044,9/10,450 zł,pełna własność,balkon,Zapytaj,brak informacji,1990,blok,tak,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
1,473 900 zł,"53,44 m²",Nowe 3 pok. z własnym ogródkiem i miejscem park.,3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Stargard, stargardzki, zachodniopomorskie",53.31718,15.013702,parter/2,350 zł,pełna własność,"ogródek, taras",Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",silikat,wtórny
1,279 990 zł,"32,62 m²",Kawalerka z pięknym widokiem na Szczecin!,1,do zamieszkania,Współrzędne dokładne,"Szczecin, Pomorzany, ul. 9 Maja",53.403954,14.520714,> 10/11,550 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,1973,brak informacji,tak,brak informacji,brak informacji,wielka płyta,wtórny
1,429 000 zł,"36,7 m²",Mieszkanie 2 pokojowe na sprzedaż Nowa Cukrownia,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Gumieńce, Szczecin, Szczecin",53.41076,14.46506,3,400 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,2016,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,1 649 000 zł,"59,44 m²",Apartament Mielno Centralny Widok na Morze,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Mielno, koszaliński, zachodniopomorskie",54.26336,16.06722,1/3,840 zł,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2018,apartamentowiec,tak,internet,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,wtórny
1,1 649 000 zł,"59,44 m²",Apartament Mielno Centralny Widok na Morze,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Mielno, koszaliński, zachodniopomorskie",54.26336,16.06722,1/3,840 zł,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2018,apartamentowiec,tak,internet,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,wtórny
1,427 548 zł,"49,2 m²","2/3-pok. 49,2 m2 w samym sercu Koszalina - Kuncer",2,do zamieszkania,Współrzędne dokładne,"ul. Bartosza Głowackiego , Koszalin, Koszalin",54.19087,16.19378,2/3,400 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2017,blok,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",silikat,wtórny
1,3 780 000 zł,"96,24 m²",Luksusowy apartament z widokiem na morze,3,do zamieszkania,Współrzędne dokładne,"ul. Uzdrowiskowa , Świnoujście, Świnoujście",53.918868,14.266558,5,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2021,apartamentowiec,tak,"telewizja kablowa, internet","system alarmowy, teren zamknięty, monitoring / ochrona",brak informacji,wtórny
1,649 000 zł,"67,1 m²","3 pokoje, 67,10m2, piękny widok, wysoki standard",3,do zamieszkania,Współrzędne dokładne,"Szczecin, Warszewo, ul. Szczygli Zaułek",53.467932,14.566407,1/2,440 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2000,blok,nie,"internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",cegła,wtórny
1,400 000 zł,"52,48 m²","Mieszkanie, 52,48 m², Gryfino",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Gryfino, gryfiński, zachodniopomorskie",53.25009,14.51084,2/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1970,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,499 000 zł,"57,9 m²","Sprzedam 2-pokojowe mieszkanie w centrum - 57,9mkw",2,do zamieszkania,Współrzędne dokładne,"Szczecin, Centrum, ul. Montwiłła",53.434375,14.570821,parter/4,500 zł,spółdzielcze wł. z KW,Zapytaj,Zapytaj,brak informacji,1950,kamienica,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",cegła,wtórny
1,298 000 zł,38 m²,Na sprzedaż dwa pokoje na Pomorzanach.,2,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Pomorzany, Szczecin, Szczecin",53.403065,14.521824,2/4,450 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,1975,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
1,325 000 zł,36 m²,Sprzedam mieszkanie 2 pokoje,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Niebuszewo-Bolinko, Szczecin, Szczecin",53.39368,14.51525,2/4,390 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,telewizja kablowa,"drzwi / okna antywłamaniowe, domofon / wideofon",wielka płyta,wtórny
1,310 000 zł,29 m²,OBEJRZYJ FILM!!! Umeblowana kawalerka po remoncie.,1,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Szczecin, Szczecin, zachodniopomorskie",53.438485,14.566617,4,300 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
1,337 000 zł,37 m²,Okazja-Dobra Cena! 2 Pokoje Centrum!,2,Zapytaj,Współrzędne dokładne,"ul. Grochowska , Kołobrzeg, kołobrzeski",54.175079,15.584736,3/4,450 zł,spółdzielcze wł. z KW,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
