prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
780 000 zł,"82,18 m²",Wykończone mieszkanie w nowej Inwestycji,4,do zamieszkania,Współrzędne dokładne,"Łódź, Zarzew, ul. mjr. Jana Piwnika ""Ponurego""",51.74697,19.508246,parter/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet",brak informacji,inne,pierwotny
588 000 zł,"78,42 m²",Mieszkanie w wykończonej Inwestycji,4,do wykończenia,Współrzędne dokładne,"Łódź, Zarzew, ul. mjr. Jana Piwnika ""Ponurego""",51.74697,19.508246,1/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet",brak informacji,inne,pierwotny
599 000 zł,65 m²,MIESZKANIE M2 NOWE PIETRO 1 Pabianice ul Podleśna,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Bugaj, Pabianice, pabianicki",51.65666,19.37413,1/5,1 200 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2021,apartamentowiec,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",pustak,pierwotny
714 780 zł,"79,42 m²",4-pokojowe mieszkanie 79m2 + loggia,4,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Nad Sokołówką",51.803727,19.434645,1/8,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
484 320 zł,"50,45 m²",2-pokojowe mieszkanie 50m2 + loggia Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Nad Sokołówką",51.803727,19.434645,1/8,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
586 530 zł,"65,17 m²",3-pokojowe mieszkanie 65m2 + taras Bez Prowizji,3,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Nad Sokołówką",51.803727,19.434645,1/5,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"42,12 m²",2-pokojowe mieszkanie 42m2 + loggia,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Brzeźna",51.753743,19.458635,1/5,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"49,19 m²",2-pokojowe mieszkanie 49m2 + balkon Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Wólczańska",51.742428,19.457904,parter/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
581 060 zł,"68,36 m²",Apartamenty Konstantynów Łódzki,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Konstantynów Łódzki, pabianicki, łódzkie",51.74644,19.32674,1/2,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2022,apartamentowiec,nie,"telewizja kablowa, internet",domofon / wideofon,cegła,pierwotny
253 935 zł,"26,73 m²",1-pokojowe mieszkanie 26m2 + ogródek Bez Prowizji,1,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Dzwonowa",51.713173,19.445054,parter/2,Zapytaj,pełna własność,"taras, ogródek",Zapytaj,0,0,0,0,0,0,0,0
406 230 zł,"36,93 m²","Łódź, Radiostacja, BEZPOŚREDNIO od dewelopera",2,do wykończenia,Współrzędne dokładne,"Łódź, Radiostacja, Gabriela Narutowicza 128",51.75949,19.4318,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,kamienica,tak,brak informacji,brak informacji,cegła,pierwotny
275 000 zł,"34,5 m²",Dwa pokoje w Apartamentowcu‼️ Klucze maj‼️NeoTeo‼️,2,Zapytaj,Współrzędne dokładne,"Łódź, Bałuty, ul. Aleksandrowska",51.798065,19.389393,1/10,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,pierwotny
Zapytaj o cenę,"73,53 m²",3-pokojowe mieszkanie 73m2 + balkon Bez Prowizji,3,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Rzgowska",51.721001,19.483235,1/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
322 995 zł,"35,3 m²",2 Pokoje w Centrum - Uniwersytet ‼️ Ten rok ‼️,2,Zapytaj,Współrzędne dokładne,"Łódź, Śródmieście, ul. dr. Stefana Kopcińskiego",51.768507,19.483864,Zapytaj,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",cegła,pierwotny
Zapytaj o cenę,"70,72 m²",4-pokojowe mieszkanie 70m2 + balkon Bezpośrednio,4,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Słowiańska",51.748333,19.471314,2/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"39,87 m²",2-pokojowe mieszkanie 39m2 + ogródek Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Stare Polesie, ul. Marcina Kasprzaka",51.771823,19.430733,1/7,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"90,42 m²",4-pokojowe mieszkanie 90m2 + taras Bez Prowizji,4,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Brzeźna",51.753743,19.458635,3/4,Zapytaj,pełna własność,"taras, balkon",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
519 000 zł,66 m²,Apartament z 320cm oknem wychodzącym na 108m ogród,3,do wykończenia,Współrzędne dokładne,"Łódź, Nowosolna, ul. Brzezińska",51.793974,19.596555,parter/1,200 zł,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,2023-12-20,2023,dom wolnostojący,nie,internet,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",pustak,pierwotny
274 740 zł,"28,92 m²",1-pokojowe mieszkanie 28m2 Bez Prowizji,1,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Wólczańska",51.755678,19.454527,4/4,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
