option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,245 000 zł,37 m²,2 pokoje Teofilów,2,do zamieszkania,Współrzędne dokładne,"Łódź, Bałuty, ul. Traktorowa",51.793077,19.395831,4/4,350 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1971,blok,nie,"telewizja kablowa, internet",brak informacji,cegła,wtórny
1,398 000 zł,"55,36 m²",Super 3 pokoje Górna z meblami,3,do zamieszkania,Współrzędne dokładne,"Łódź, Górna, ul. Adama Naruszewicza",51.731595,19.480428,6/10,740 zł,pełna własność,balkon,Zapytaj,brak informacji,1975,blok,tak,"telewizja kablowa, internet",monitoring / ochrona,wielka płyta,wtórny
1,960 000 zł,113 m²,Gotowiec inwestycyjny na sprzedaż,4,Zapytaj,Współrzędne dokładne,"Łódź, Śródmieście, ul. Dowborczyków 20",51.763625,19.469916,Zapytaj,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,kamienica,nie,brak informacji,brak informacji,brak informacji,wtórny
1,285 000 zł,46 m²,Sprzedam mieszkanie 46m 2pokoje Zgierz,2,do zamieszkania,Współrzędne dokładne,"Zgierz, os. 650-lecia, ul. Parzęczewska",51.864107,19.389835,4/4,Zapytaj,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,1970,blok,nie,"telewizja kablowa, internet",domofon / wideofon,cegła,wtórny
1,349 900 zł,"25,07 m²","Luksusowe mieszkanie, centrum, gwarancja najmu",1,do zamieszkania,Współrzędne dokładne,"Łódź, Śródmieście, ul. Wólczańska 4",51.7739,19.451014,parter/4,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,1903,kamienica,nie,internet,domofon / wideofon,cegła,wtórny
1,284 900 zł,"19,11 m²",Luksusowe mieszkanie w centrum z gwarancją najmu,1,do zamieszkania,Współrzędne dokładne,"Łódź, Śródmieście, ul. Wólczańska",51.755588,19.454869,parter/4,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,1903,kamienica,nie,internet,domofon / wideofon,cegła,wtórny
1,335 000 zł,"50,05 m²",Rozkładowe⭐Dwustronne⭐Jasne,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Łódź, Łódź, łódzkie",51.790986,19.46113,3/3,680 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,390 000 zł,"53,5 m²",⭐Po Remoncie⭐Wysoki Standard⭐Miejsce Postojowe!,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Widzew, Łódź, Łódź",51.749155,19.494911,2/3,299 zł,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,1909,kamienica,nie,brak informacji,brak informacji,brak informacji,wtórny
1,259 000 zł,37 m²,⭐Parter⭐Loggia⭐Miejsce postojowe⭐2 pokoje⭐,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Polesie, Łódź, Łódź",51.782272,19.421535,parter,500 zł,Zapytaj,balkon,Zapytaj,brak informacji,1972,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,320 000 zł,"36,3 m²",⭐Centrum Miasta⭐Balkon⭐Miejsce Postojowe⭐Jasne,1,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Śródmieście, Łódź, Łódź",51.761978,19.453457,2/4,640 zł,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,1980,blok,nie,brak informacji,monitoring / ochrona,brak informacji,wtórny
1,399 000 zł,"51,44 m²",Mieszkanie 51m2 Łódź Górna ul. Niemcewicza,2,do zamieszkania,Współrzędne dokładne,"Łódź, Górna, ul. Juliana Ursyna Niemcewicza",51.732159,19.471341,parter/4,750 zł,spółdzielcze własnościowe,"balkon, ogródek",Zapytaj,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet",domofon / wideofon,cegła,wtórny
1,340 000 zł,"51,72 m²",2 pokoje w bloku obok Wydziału Ekonom-Socjolog.,2,do remontu,Współrzędne dokładne,"Łódź, Śródmieście, ul. Stefana Jaracza",51.774275,19.46677,parter/5,700 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon",cegła,wtórny
1,340 000 zł,57 m²,"57m2, 3 pokoje z balkonem, komórka na piętrze.",3,do remontu,Współrzędne dokładne,"Łódź, Bałuty, ul. Urzędnicza",51.792659,19.444123,parter/10,600 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
